InvoiceNO,InvoiceAmt,ShipDate,InvoiceDate,VendorID,VendorName,ProductID,UnitCost,ShipCost,FlatDuty,TariffAmt,ShipLocation,QualityRate,PaymentTerms,ShipTerms,PayAddress,PONumber,PODate,ReceivingNumber,ReceivingDate,QtyReceived,QtyPurchased,QtyInvoice,Approved
INV00001,31958.45,2025-01-28,2025-01-28,V104,China Auto,PROD163,317.03,309.71,25.0,1505.89,China,3,Net 30,FOB Shipping Point,123 China Blvd,PO0001,2025-01-17,REC00001,2025-02-01,95,95,95,Yes
INV00002,33896.61,2025-07-31,2025-07-31,V101,Global Tech Parts,PROD727,290.56,482.21,0.0,0.0,USA,2,Net 30,FOB Destination,123 USA Blvd,PO0002,2025-07-18,REC00002,2025-08-03,115,115,115,No
INV00003,13771.43,2025-03-29,2025-03-29,V103,Euro Wheels,PROD830,45.82,371.57,25.0,636.9,Germany,4,Net 60,FOB Destination,123 Germany Blvd,PO0003,2025-03-16,REC00003,2025-03-31,278,278,278,Yes
INV00004,6028.55,2025-02-13,2025-02-13,V103,Euro Wheels,PROD473,87.98,276.05,25.0,272.74,Germany,5,Net 60,FOB Destination,123 Germany Blvd,PO0004,2025-01-29,REC00004,2025-02-18,62,62,62,Yes
INV00005,3122.85,2025-01-27,2025-01-27,V101,Global Tech Parts,PROD619,39.74,380.79,0.0,0.0,USA,2,Net 30,FOB Destination,123 USA Blvd,PO0005,2025-01-19,REC00005,2025-02-02,69,69,69,No
INV00006,14583.68,2025-02-27,2025-02-27,V102,Asia Motors,PROD704,43.23,441.92,25.0,672.23,Japan,5,Net 45,FOB Shipping Point,123 Japan Blvd,PO0006,2025-02-12,REC00006,2025-03-02,311,311,311,Yes
INV00007,92684.29,2025-12-21,2025-12-21,V103,Euro Wheels,PROD621,318.4,386.97,25.0,4393.92,Germany,4,Net 60,FOB Destination,123 Germany Blvd,PO0007,2025-12-07,REC00007,2025-12-23,276,276,276,Yes
INV00008,146470.24,2025-11-29,2025-11-29,V103,Euro Wheels,PROD873,487.14,157.1,25.0,6966.1,Germany,4,Net 60,FOB Destination,123 Germany Blvd,PO0008,2025-11-18,REC00008,2025-12-04,286,286,286,Yes
INV00009,229287.74,2025-02-28,2025-02-28,V104,China Auto,PROD671,442.99,414.11,25.0,10897.55,China,5,Net 30,FOB Shipping Point,123 China Blvd,PO0009,2025-02-20,REC00009,2025-03-04,492,492,492,Yes
INV00010,84181.54,2025-11-23,2025-11-23,V102,Asia Motors,PROD142,251.5,444.76,25.0,3986.28,Japan,5,Net 45,FOB Shipping Point,123 Japan Blvd,PO0010,2025-11-13,REC00010,2025-11-26,317,317,317,Yes
INV00011,14960.22,2025-02-11,2025-02-11,V104,China Auto,PROD633,416.78,56.17,25.0,708.53,China,2,Net 30,FOB Shipping Point,123 China Blvd,PO0011,2025-02-06,REC00011,2025-02-16,34,34,34,No
INV00012,50378.54,2025-11-07,2025-11-07,V104,China Auto,PROD601,102.79,382.18,25.0,2379.59,China,3,Net 30,FOB Shipping Point,123 China Blvd,PO0012,2025-10-24,REC00012,2025-11-09,463,463,463,Yes
INV00013,3294.72,2025-04-08,2025-04-08,V101,Global Tech Parts,PROD430,97.76,68.64,0.0,0.0,USA,1,Net 30,FOB Destination,123 USA Blvd,PO0013,2025-03-28,REC00013,2025-04-15,33,33,33,No
INV00014,20889.82,2025-06-12,2025-06-12,V104,China Auto,PROD287,71.44,311.53,25.0,978.73,China,1,Net 30,FOB Shipping Point,123 China Blvd,PO0014,2025-05-28,REC00014,2025-06-19,274,274,274,No
INV00015,68819.82,2025-03-31,2025-03-31,V103,Euro Wheels,PROD495,433.31,93.52,25.0,3271.49,Germany,2,Net 60,FOB Destination,123 Germany Blvd,PO0015,2025-03-18,REC00015,2025-04-05,151,151,151,No
INV00016,89922.29,2025-05-08,2025-05-08,V104,China Auto,PROD826,196.91,372.16,25.0,4263.1,China,3,Net 30,FOB Shipping Point,123 China Blvd,PO0016,2025-04-28,REC00016,2025-05-10,433,433,433,Yes
INV00017,96347.08,2025-04-14,2025-04-14,V103,Euro Wheels,PROD365,322.16,253.97,25.0,4574.67,Germany,1,Net 60,FOB Destination,123 Germany Blvd,PO0017,2025-04-02,REC00017,2025-04-17,284,284,284,No
INV00018,20336.26,2025-11-19,2025-11-19,V103,Euro Wheels,PROD591,223.25,386.2,25.0,948.81,Germany,1,Net 60,FOB Destination,123 Germany Blvd,PO0018,2025-11-07,REC00018,2025-11-25,85,85,85,No
INV00019,58197.3,2025-07-24,2025-07-24,V103,Euro Wheels,PROD125,203.49,55.56,25.0,2767.46,Germany,5,Net 60,FOB Destination,123 Germany Blvd,PO0019,2025-07-16,REC00019,2025-07-30,272,272,272,Yes
INV00020,75813.43,2025-04-11,2025-04-11,V102,Asia Motors,PROD183,283.72,120.31,25.0,3603.24,Japan,1,Net 45,FOB Shipping Point,123 Japan Blvd,PO0020,2025-04-04,REC00020,2025-04-16,254,254,254,No
INV00021,150974.41,2025-11-24,2025-11-24,V104,China Auto,PROD246,452.39,371.4,25.0,7170.38,China,5,Net 30,FOB Shipping Point,123 China Blvd,PO0021,2025-11-17,REC00021,2025-11-28,317,317,317,Yes
INV00022,7770.89,2025-06-14,2025-06-14,V104,China Auto,PROD210,73.9,374.36,25.0,351.03,China,5,Net 30,FOB Shipping Point,123 China Blvd,PO0022,2025-06-05,REC00022,2025-06-17,95,95,95,Yes
INV00023,110877.27,2025-04-23,2025-04-23,V102,Asia Motors,PROD701,419.31,343.12,25.0,5262.34,Japan,2,Net 45,FOB Shipping Point,123 Japan Blvd,PO0023,2025-04-15,REC00023,2025-04-28,251,251,251,No
INV00024,20718.92,2025-03-11,2025-03-11,V101,Global Tech Parts,PROD272,426.23,259.88,0.0,0.0,USA,4,Net 30,FOB Destination,123 USA Blvd,PO0024,2025-02-26,REC00024,2025-03-18,48,48,48,Yes
INV00025,7232.84,2025-05-01,2025-05-01,V101,Global Tech Parts,PROD648,49.49,205.26,0.0,0.0,USA,2,Net 30,FOB Destination,123 USA Blvd,PO0025,2025-04-21,REC00025,2025-05-04,142,142,142,No
INV00026,67771.25,2025-07-14,2025-07-14,V102,Asia Motors,PROD170,164.3,465.4,25.0,3203.85,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0026,2025-07-07,REC00026,2025-07-20,390,390,390,Yes
INV00027,6621.97,2025-06-30,2025-06-30,V103,Euro Wheels,PROD586,72.54,351.28,25.0,297.41,Germany,5,Net 60,FOB Destination,123 Germany Blvd,PO0027,2025-06-15,REC00027,2025-07-07,82,82,82,Yes
INV00028,104965.59,2025-12-27,2025-12-27,V101,Global Tech Parts,PROD733,464.32,493.59,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0028,2025-12-13,REC00028,2026-01-01,225,225,225,Yes
INV00029,32735.29,2025-08-02,2025-08-02,V101,Global Tech Parts,PROD905,225.98,194.17,0.0,0.0,USA,2,Net 30,FOB Destination,123 USA Blvd,PO0029,2025-07-19,REC00029,2025-08-04,144,144,144,No
INV00030,29129.57,2025-09-22,2025-09-22,V103,Euro Wheels,PROD535,395.98,415.82,25.0,1366.13,Germany,1,Net 60,FOB Destination,123 Germany Blvd,PO0030,2025-09-14,REC00030,2025-09-28,69,69,69,No
INV00031,20776.1,2025-08-11,2025-08-11,V102,Asia Motors,PROD409,241.98,424.78,25.0,967.92,Japan,3,Net 45,FOB Shipping Point,123 Japan Blvd,PO0031,2025-08-06,REC00031,2025-08-17,80,80,80,Yes
INV00032,48773.35,2025-02-20,2025-02-20,V101,Global Tech Parts,PROD715,126.98,266.99,0.0,0.0,USA,1,Net 30,FOB Destination,123 USA Blvd,PO0032,2025-02-06,REC00032,2025-02-26,382,382,382,No
INV00033,166322.9,2025-12-06,2025-12-06,V101,Global Tech Parts,PROD270,350.0,72.9,0.0,0.0,USA,2,Net 30,FOB Destination,123 USA Blvd,PO0033,2025-11-21,REC00033,2025-12-11,475,475,475,No
INV00034,64378.25,2025-03-05,2025-03-05,V101,Global Tech Parts,PROD949,142.9,73.25,0.0,0.0,USA,1,Net 30,FOB Destination,123 USA Blvd,PO0034,2025-02-27,REC00034,2025-03-11,450,450,450,No
INV00035,47513.81,2025-08-31,2025-08-31,V104,China Auto,PROD163,310.3,245.63,25.0,2249.68,China,1,Net 30,FOB Shipping Point,123 China Blvd,PO0035,2025-08-16,REC00035,2025-09-02,145,145,145,No
INV00036,52436.86,2025-12-27,2025-12-27,V103,Euro Wheels,PROD474,408.7,57.39,25.0,2493.07,Germany,5,Net 60,FOB Destination,123 Germany Blvd,PO0036,2025-12-17,REC00036,2026-01-01,122,122,122,Yes
INV00037,49864.35,2025-02-14,2025-02-14,V101,Global Tech Parts,PROD210,298.37,334.93,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0037,2025-01-30,REC00037,2025-02-16,166,166,166,Yes
INV00038,143981.4,2025-07-16,2025-07-16,V101,Global Tech Parts,PROD185,439.06,408.78,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0038,2025-07-01,REC00038,2025-07-22,327,327,327,Yes
INV00039,174637.24,2025-04-21,2025-04-21,V101,Global Tech Parts,PROD855,368.37,398.23,0.0,0.0,USA,2,Net 30,FOB Destination,123 USA Blvd,PO0039,2025-04-13,REC00039,2025-04-23,473,473,473,No
INV00040,78328.46,2025-05-24,2025-05-24,V103,Euro Wheels,PROD719,465.55,91.06,25.0,3724.4,Germany,4,Net 60,FOB Destination,123 Germany Blvd,PO0040,2025-05-09,REC00040,2025-05-28,160,160,160,Yes
INV00041,114083.91,2025-10-24,2025-10-24,V102,Asia Motors,PROD884,260.15,425.39,25.0,5411.12,Japan,5,Net 45,FOB Shipping Point,123 Japan Blvd,PO0041,2025-10-11,REC00041,2025-10-26,416,416,416,Yes
INV00042,18579.23,2025-07-25,2025-07-25,V103,Euro Wheels,PROD178,310.45,299.77,25.0,869.26,Germany,4,Net 60,FOB Destination,123 Germany Blvd,PO0042,2025-07-11,REC00042,2025-07-28,56,56,56,Yes
INV00043,7714.84,2025-02-11,2025-02-11,V101,Global Tech Parts,PROD359,272.81,76.16,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0043,2025-01-30,REC00043,2025-02-13,28,28,28,Yes
INV00044,125913.78,2025-12-24,2025-12-24,V104,China Auto,PROD388,434.83,331.62,25.0,5978.91,China,4,Net 30,FOB Shipping Point,123 China Blvd,PO0044,2025-12-13,REC00044,2025-12-26,275,275,275,Yes
INV00045,29531.35,2025-09-16,2025-09-16,V103,Euro Wheels,PROD655,62.11,224.59,25.0,1394.37,Germany,2,Net 60,FOB Destination,123 Germany Blvd,PO0045,2025-09-10,REC00045,2025-09-22,449,449,449,No
