Month,Model,Units_Sold,Unit_Price,Variable_Cost_per_Unit,Fixed_Costs,Revenue,Total_Variable_Cost,Operating_Income
Jan,EcoScooter,879,299,150,16666.666666666668,262821,131850,114304.33333333333
Jan,SpeedPro,219,799,450,16666.666666666668,174981,98550,59764.33333333333
Jan,CommuterMax,379,499,250,16666.666666666668,189121,94750,77704.33333333333
Feb,EcoScooter,890,299,150,16666.666666666668,266110,133500,115943.33333333333
Feb,SpeedPro,357,799,450,16666.666666666668,285243,160650,107926.33333333333
Feb,CommuterMax,644,499,250,16666.666666666668,321356,161000,143689.33333333334
Mar,EcoScooter,795,299,150,16666.666666666668,237705,119250,101788.33333333333
Mar,SpeedPro,320,799,450,16666.666666666668,255680,144000,95013.33333333333
Mar,CommuterMax,570,499,250,16666.666666666668,284430,142500,125263.33333333333
Apr,EcoScooter,768,299,150,16666.666666666668,229632,115200,97765.33333333333
Apr,SpeedPro,254,799,450,16666.666666666668,202946,114300,71979.33333333333
Apr,CommuterMax,589,499,250,16666.666666666668,293911,147250,129994.33333333333
May,EcoScooter,889,299,150,16666.666666666668,265811,133350,115794.33333333333
May,SpeedPro,305,799,450,16666.666666666668,243695,137250,89778.33333333333
May,CommuterMax,616,499,250,16666.666666666668,307384,154000,136717.33333333334
Jun,EcoScooter,973,299,150,16666.666666666668,290927,145950,128310.33333333333
Jun,SpeedPro,452,799,450,16666.666666666668,361148,203400,141081.33333333334
Jun,CommuterMax,574,499,250,16666.666666666668,286426,143500,126259.33333333333
Jul,EcoScooter,677,299,150,16666.666666666668,202423,101550,84206.33333333333
Jul,SpeedPro,468,799,450,16666.666666666668,373932,210600,146665.33333333334
Jul,CommuterMax,394,499,250,16666.666666666668,196606,98500,81439.33333333333
Aug,EcoScooter,701,299,150,16666.666666666668,209599,105150,87782.33333333333
Aug,SpeedPro,255,799,450,16666.666666666668,203745,114750,72328.33333333333
Aug,CommuterMax,589,499,250,16666.666666666668,293911,147250,129994.33333333333
Sep,EcoScooter,513,299,150,16666.666666666668,153387,76950,59770.33333333333
Sep,SpeedPro,293,799,450,16666.666666666668,234107,131850,85590.33333333333
Sep,CommuterMax,313,499,250,16666.666666666668,156187,78250,61270.33333333333
Oct,EcoScooter,665,299,150,16666.666666666668,198835,99750,82418.33333333333
Oct,SpeedPro,376,799,450,16666.666666666668,300424,169200,114557.33333333333
Oct,CommuterMax,513,499,250,16666.666666666668,255987,128250,111070.33333333333
Nov,EcoScooter,667,299,150,16666.666666666668,199433,100050,82716.33333333333
Nov,SpeedPro,500,799,450,16666.666666666668,399500,225000,157833.33333333334
Nov,CommuterMax,436,499,250,16666.666666666668,217564,109000,91897.33333333333
Dec,EcoScooter,889,299,150,16666.666666666668,265811,133350,115794.33333333333
Dec,SpeedPro,469,799,450,16666.666666666668,374731,211050,147014.33333333334
Dec,CommuterMax,588,499,250,16666.666666666668,293412,147000,129745.33333333333
