HospitalID,Admissions,Beds,StaffingLevel,TotalOperatingCost
HOSP_0001,23723,351,1531,220037071
HOSP_0002,38390,888,3776,476230380
HOSP_0003,31700,740,3297,418280860
HOSP_0004,36600,697,1871,367812519
HOSP_0005,5653,154,582,74864759
HOSP_0006,50595,768,3035,473343630
HOSP_0007,25955,725,1883,297302008
HOSP_0008,38969,736,2963,403754662
HOSP_0009,13809,459,1386,180325553
HOSP_0010,41143,533,1851,380688436
HOSP_0011,64725,887,2797,592289403
HOSP_0012,43364,993,2568,399862590
HOSP_0013,41979,717,2517,370641497
HOSP_0014,35577,631,2689,433124080
HOSP_0015,26880,549,1795,243904663
HOSP_0016,18252,320,967,178265324
HOSP_0017,33527,587,2542,413545213
HOSP_0018,37048,652,2522,354366850
HOSP_0019,74825,945,2910,603178565
HOSP_0020,13890,213,591,115228429
HOSP_0021,11395,205,700,117893121
HOSP_0022,17941,382,1573,186074597
HOSP_0023,58687,816,2924,581665063
HOSP_0024,17908,324,823,143084700
HOSP_0025,16818,499,2228,256321371
HOSP_0026,9512,198,531,80746813
HOSP_0027,43276,690,2586,424329524
HOSP_0028,54350,968,3399,548313975
HOSP_0029,5439,106,379,54065273
HOSP_0030,44196,995,2920,496039284
HOSP_0031,28190,521,2016,306144193
HOSP_0032,20213,307,828,179234416
HOSP_0033,62743,871,2436,469748810
HOSP_0034,15218,361,1444,182981711
HOSP_0035,22225,692,2506,307082877
HOSP_0036,11081,183,627,113013335
HOSP_0037,14053,462,1616,171975764
HOSP_0038,6942,211,854,85441437
HOSP_0039,33364,640,2506,311310953
HOSP_0040,39792,575,1604,348074746
HOSP_0041,42875,537,1759,392163960
HOSP_0042,28641,721,2198,355433095
HOSP_0043,20498,505,1646,254495718
HOSP_0044,51142,756,2277,456939602
HOSP_0045,4059,67,223,35629780
HOSP_0046,42106,718,2899,389781955
HOSP_0047,3491,50,150,25709038
HOSP_0048,35381,521,1655,274645413
HOSP_0049,5871,135,380,62991705
HOSP_0050,35589,756,2654,356305390
HOSP_0051,14664,380,1548,206252078
HOSP_0052,7604,186,630,84126871
HOSP_0053,14980,283,969,170057171
HOSP_0054,33535,466,1773,287344383
HOSP_0055,12747,323,1350,178289808
HOSP_0056,17392,499,1610,236776654
HOSP_0057,15889,235,693,146231970
HOSP_0058,25153,478,1267,216201101
HOSP_0059,31558,435,1321,272891466
HOSP_0060,43876,610,2499,380927143
HOSP_0061,12229,160,594,100385972
HOSP_0062,54571,733,1906,372638864
HOSP_0063,35097,679,2416,316830847
HOSP_0064,13242,169,751,131354234
HOSP_0065,34191,644,2542,333651449
HOSP_0066,21643,577,2068,239704115
HOSP_0067,37674,815,2883,444637793
HOSP_0068,18717,485,1590,211606079
HOSP_0069,38942,683,2845,399578753
HOSP_0070,25117,523,1870,277615037
HOSP_0071,63329,863,2207,554565640
HOSP_0072,24965,652,2853,302697161
HOSP_0073,15084,476,1702,212840527
HOSP_0074,37569,507,2225,375227096
HOSP_0075,25870,627,2812,387444597
HOSP_0076,14377,464,1912,185859760
HOSP_0077,23589,300,1004,172418887
HOSP_0078,25201,351,1415,254460171
HOSP_0079,36507,522,1559,322336175
HOSP_0080,65478,912,2695,521050085
HOSP_0081,11472,257,742,123192887
HOSP_0082,42042,863,3699,433508722
HOSP_0083,42148,785,2697,383019682
HOSP_0084,49124,807,3310,435959541
HOSP_0085,18739,269,949,156541281
HOSP_0086,41059,824,2513,379201144
HOSP_0087,41627,702,2145,374117525
HOSP_0088,15951,227,1001,163702086
HOSP_0089,3357,61,172,33244498
HOSP_0090,13116,189,757,110384871
HOSP_0091,71408,982,3608,602389456
HOSP_0092,43821,955,3556,490414296
HOSP_0093,33606,781,2081,290304080
HOSP_0094,74166,929,2423,556084917
HOSP_0095,66550,896,3512,592837828
HOSP_0096,24839,476,1797,273772372
HOSP_0097,8740,173,624,79218948
HOSP_0098,19128,295,909,144289052
HOSP_0099,22446,284,916,207070509
HOSP_0100,27137,541,1755,308377449
HOSP_0101,23994,753,2541,278941318
HOSP_0102,42887,827,2173,376331529
HOSP_0103,44220,617,1803,350718162
HOSP_0104,29552,910,3725,419286318
HOSP_0105,69982,918,3819,728610989
HOSP_0106,15209,283,1033,167102435
HOSP_0107,46337,654,1673,325490774
HOSP_0108,24205,387,1711,222224790
HOSP_0109,7103,101,282,50355849
HOSP_0110,53344,884,3863,572329264
HOSP_0111,7166,210,888,113474459
HOSP_0112,22785,551,1981,250077081
HOSP_0113,33860,565,2515,314920520
HOSP_0114,40446,567,1967,375490692
HOSP_0115,41485,887,3797,504492003
HOSP_0116,54575,684,1905,410677019
HOSP_0117,31133,406,1255,247975379
HOSP_0118,4367,66,170,35645143
HOSP_0119,12607,397,1441,154586918
HOSP_0120,7902,107,345,62255946
HOSP_0121,11677,282,1203,148315605
HOSP_0122,34028,722,2865,365231262
HOSP_0123,53874,866,2225,401519088
HOSP_0124,14486,465,1532,165381507
HOSP_0125,2279,69,245,28293965
HOSP_0126,63777,958,2603,556055616
HOSP_0127,34474,511,1351,278231123
HOSP_0128,5306,171,481,69991113
HOSP_0129,13216,222,588,96580477
HOSP_0130,7606,195,751,84544790
HOSP_0131,3307,102,262,37167382
HOSP_0132,50140,878,2554,507561388
HOSP_0133,27918,852,3220,403489558
HOSP_0134,11404,169,755,99582805
HOSP_0135,42820,697,2090,384250053
HOSP_0136,49637,829,3129,490047189
HOSP_0137,27623,749,2030,323568114
HOSP_0138,69305,954,3089,628093384
HOSP_0139,67190,900,2684,607483652
HOSP_0140,52511,734,2879,556503772
HOSP_0141,44818,834,2280,384993526
HOSP_0142,26856,775,2273,282920406
HOSP_0143,20487,506,1563,247798948
HOSP_0144,17196,236,706,129950092
HOSP_0145,16803,498,2163,278349507
