SessionID,SessionType,InstructorID,Date
SESS001,Group,INST11,07/31/2026
SESS002,Friday Party,INST14,07/31/2026
SESS003,Private,INST11,07/31/2026
SESS004,Friday Party,INST14,07/31/2026
SESS005,Private,INST12,07/31/2026
SESS006,Private,INST09,07/31/2026
SESS007,Friday Party,INST09,07/31/2026
SESS008,Private,INST11,07/31/2026
SESS009,Private,INST02,07/31/2026
SESS010,Private,INST07,07/31/2026
SESS011,Starter,INST11,07/31/2026
SESS012,Group,INST15,07/31/2026
SESS013,Private,INST07,07/31/2026
SESS014,Friday Party,INST01,07/31/2026
SESS015,Friday Party,INST13,07/31/2026
SESS016,Group,INST06,07/31/2026
SESS017,Private,INST05,07/31/2026
SESS018,Friday Party,INST05,07/31/2026
SESS019,Private,INST14,07/31/2026
SESS020,Private,INST11,07/31/2026
SESS021,Private,INST04,07/31/2026
SESS022,Private,INST05,07/31/2026
SESS023,Starter,INST01,07/31/2026
SESS024,Group,INST11,07/31/2026
SESS025,Group,INST09,07/31/2026
SESS026,Group,INST12,07/31/2026
SESS027,Group,INST12,07/31/2026
SESS028,Private,INST08,07/31/2026
SESS029,Starter,INST07,07/31/2026
SESS030,Group,INST05,07/31/2026
SESS031,Private,INST07,07/31/2026
SESS032,Starter,INST03,07/31/2026
SESS033,Starter,INST09,07/31/2026
SESS034,Group,INST01,07/31/2026
SESS035,Starter,INST07,07/31/2026
SESS036,Friday Party,INST05,07/31/2026
SESS037,Group,INST04,07/31/2026
SESS038,Starter,INST10,07/31/2026
SESS039,Starter,INST06,07/31/2026
SESS040,Private,INST11,07/31/2026
SESS041,Starter,INST03,07/31/2026
SESS042,Group,INST04,07/31/2026
SESS043,Friday Party,INST05,07/31/2026
SESS044,Starter,INST10,07/31/2026
SESS045,Private,INST01,07/31/2026
SESS046,Group,INST09,07/31/2026
SESS047,Group,INST12,07/31/2026
SESS048,Private,INST07,07/31/2026
SESS049,Group,INST03,07/31/2026
SESS050,Friday Party,INST04,07/31/2026
