VendorID,VendorName,ServiceType,StandardCost,ActualCost
1010,Hill and Sons,Manufacturing,100,154
1011,Clark-Grant,StandardShipping,0,252
1012,Williams Ltd,ExpressShipping,0,225
1013,"Murphy, Thomas and Thompson",Packaging,25,150
1014,Price LLC,Design,50,50
1015,Campbell Group,Inspection,0,125
1016,Davis-Gallegos,Manufacturing,100,25
1017,Miller Inc,StandardShipping,0,250
1018,Rodriguez and Sons,ExpressShipping,0,125
1019,"Barnett, Perry and Torres",Packaging,25,10
1020,Martinez-Carey,Design,50,35
