Date,CustomerID,CustomerName,ProductCategory,SalesAmount,Region
05/20/2026,CUST46,"Robinson, Robinson and Willis",Drivetrain,10822,South
05/10/2026,CUST74,King Inc,Brakes,5742,West
10/23/2025,CUST80,Garcia-Ramos,Brakes,6987,West
01/15/2026,CUST13,Price PLC,Accessories,10352,South
05/03/2026,CUST83,Long-Tate,Frames,7179,North
05/05/2026,CUST15,Snyder Ltd,Wheels,13940,South
07/06/2026,CUST39,Simpson Group,Frames,4516,West
04/09/2026,CUST60,Bowman LLC,Accessories,13586,West
06/28/2026,CUST47,Perry LLC,Wheels,5852,East
06/22/2026,CUST78,Lane-Lawrence,Wheels,5179,North
04/02/2026,CUST37,Camacho and Sons,Drivetrain,12416,South
10/30/2025,CUST23,"Castro, Weber and Warner",Accessories,13077,East
02/15/2026,CUST82,Lopez LLC,Wheels,7399,South
06/24/2026,CUST39,Herrera-Blake,Drivetrain,4365,West
12/31/2025,CUST48,Joseph-Thomas,Wheels,10598,West
05/21/2026,CUST98,Davidson LLC,Brakes,4011,South
11/02/2025,CUST68,Nelson and Sons,Accessories,7248,North
08/03/2025,CUST22,Hicks and Sons,Accessories,12036,South
12/10/2025,CUST94,"Wilson, Mclean and Rivers",Wheels,12561,North
09/17/2025,CUST52,Collins-Munoz,Brakes,14356,North
02/07/2026,CUST91,Jenkins Ltd,Accessories,12544,East
11/23/2025,CUST48,Herrera-Bullock,Brakes,8683,South
10/15/2025,CUST53,Ortiz PLC,Drivetrain,6622,South
05/22/2026,CUST86,"Anderson, Davidson and Robinson",Drivetrain,6336,North
09/28/2025,CUST74,"Wright, Castaneda and Villanueva",Accessories,14446,West
04/16/2026,CUST62,Stone-Williams,Drivetrain,7782,East
10/04/2025,CUST38,Ramirez Ltd,Brakes,5138,South
02/05/2026,CUST97,Murphy-Wilkins,Accessories,6715,East
03/20/2026,CUST41,Becker PLC,Brakes,4347,South
06/30/2026,CUST73,Ho Inc,Brakes,13688,East
12/27/2025,CUST35,Lewis-Cook,Frames,12642,East
10/04/2025,CUST99,Harris PLC,Wheels,5950,North
04/09/2026,CUST49,Kim Group,Brakes,2978,North
01/10/2026,CUST99,"Smith, Mckinney and Knox",Wheels,13642,South
07/31/2025,CUST50,Fuller-Delgado,Wheels,5647,North
04/20/2026,CUST87,Phillips-Moore,Wheels,8317,North
09/23/2025,CUST38,Moody Inc,Brakes,1509,North
06/04/2026,CUST80,"Hicks, Banks and Sandoval",Wheels,10419,North
03/23/2026,CUST28,Miller-Morgan,Drivetrain,4926,South
01/29/2026,CUST32,Young PLC,Frames,10475,South
03/21/2026,CUST83,"Reeves, Gomez and Bridges",Frames,14118,North
08/12/2025,CUST97,Fox Group,Drivetrain,2527,South
04/28/2026,CUST41,Ware and Sons,Brakes,8856,South
09/08/2025,CUST75,Wood-Taylor,Frames,12513,South
05/29/2026,CUST66,"Cook, Walker and Stanley",Frames,12210,North
07/31/2026,CUST65,"Christian, Ibarra and Moore",Drivetrain,10831,South
07/24/2026,CUST24,Singleton-Perkins,Brakes,8056,North
05/18/2026,CUST41,"Carr, Pierce and Green",Accessories,1523,South
11/04/2025,CUST93,"Williams, Hoover and Salazar",Brakes,10496,East
09/17/2025,CUST60,Clayton-Moore,Accessories,12459,West
02/20/2026,CUST64,Walton-Brown,Drivetrain,2074,East
07/20/2026,CUST95,Smith-Stanley,Drivetrain,13550,East
12/24/2025,CUST91,Rodriguez PLC,Accessories,12511,North
07/20/2026,CUST11,"Adams, Williams and Rivers",Brakes,4058,East
05/05/2026,CUST97,"Clark, Andrews and Melton",Accessories,12312,East
12/23/2025,CUST37,"Jordan, Key and Soto",Wheels,4594,South
03/27/2026,CUST24,"Reyes, Hebert and Chapman",Frames,14949,West
12/22/2025,CUST71,Murphy Group,Accessories,3028,North
03/31/2026,CUST87,Miller-Jones,Wheels,14165,South
04/07/2026,CUST85,Hanson-Walters,Frames,3807,West
11/26/2025,CUST65,Melendez Inc,Frames,4165,South
02/24/2026,CUST77,Rodriguez PLC,Drivetrain,5291,West
11/01/2025,CUST48,"Fry, Washington and Craig",Drivetrain,1842,South
06/27/2026,CUST46,Mitchell-Owens,Accessories,7578,East
06/25/2026,CUST67,Johnson Group,Frames,9987,East
05/18/2026,CUST78,Charles-Jones,Frames,11369,East
08/27/2025,CUST93,"Cannon, Valenzuela and Bean",Drivetrain,9992,North
09/27/2025,CUST84,Clark PLC,Brakes,14434,East
02/06/2026,CUST34,Vazquez-Bradley,Drivetrain,1326,South
02/11/2026,CUST25,"Lynch, Gallegos and Benson",Wheels,4578,South
08/22/2025,CUST92,Gutierrez Group,Drivetrain,8614,West
11/11/2025,CUST18,"Guerrero, Yates and Villa",Wheels,14460,North
11/03/2025,CUST40,Hawkins-Fields,Drivetrain,8180,North
11/05/2025,CUST88,Richardson and Sons,Drivetrain,5548,North
12/12/2025,CUST82,Bryan-Monroe,Brakes,7597,West
11/02/2025,CUST69,Callahan Inc,Brakes,7430,East
12/27/2025,CUST49,Davis PLC,Brakes,2471,North
12/31/2025,CUST24,Smith-Patterson,Frames,7025,North
01/08/2026,CUST25,"Jones, Garcia and Martin",Frames,7257,South
02/11/2026,CUST98,Romero-Wilson,Brakes,7831,East
07/31/2025,CUST13,Garza Ltd,Frames,2622,North
06/03/2026,CUST12,"Richardson, Diaz and Davis",Drivetrain,10161,North
02/07/2026,CUST37,Greene-Weiss,Drivetrain,6280,South
05/10/2026,CUST62,Williams Ltd,Accessories,13035,West
06/26/2026,CUST37,Gill-Russell,Drivetrain,7695,South
06/21/2026,CUST11,Rodgers-Mcknight,Brakes,3795,East
02/02/2026,CUST14,Fitzgerald Inc,Brakes,8071,North
09/27/2025,CUST93,"Jenkins, Hampton and Morris",Frames,12480,West
10/08/2025,CUST95,Townsend-Hayes,Drivetrain,5013,South
06/06/2026,CUST13,Myers-Rowland,Accessories,12871,East
11/01/2025,CUST71,Franco Inc,Drivetrain,8705,South
06/15/2026,CUST69,Martin PLC,Wheels,2589,North
10/08/2025,CUST90,Garcia-Benitez,Frames,9560,East
10/01/2025,CUST76,"Hays, Johnson and Bailey",Frames,12487,West
10/29/2025,CUST78,Hardy-Maynard,Brakes,13139,West
10/15/2025,CUST27,Cox-Walls,Drivetrain,13404,North
11/10/2025,CUST27,Keller Group,Accessories,3932,East
12/22/2025,CUST28,Dixon PLC,Accessories,6077,South
02/01/2026,CUST53,Garcia PLC,Drivetrain,7927,East
09/09/2025,CUST32,Williams-Boyer,Wheels,4795,South
06/23/2026,CUST41,"Wagner, Ball and Schmidt",Accessories,12357,North
07/18/2026,CUST10,Espinoza-Jackson,Frames,4344,North
