PrinterModel,Type,Price,QtyPurchased
87772760,,-50.0,0
14879470,Inkjet,,10
04592273,laser,199.99,1000
65145036,laser,199.99,10
85235632,Laser,49.99,20
47592315,laser,49.99,10
08628893,INKJET,199.99,5
02940984,Inkjet,-50.0,5
22988683,,-50.0,5
67573196,INKJET,-50.0,10
63556520,INKJET,49.99,5
85383159,INKJET,,5
59952527,,-50.0,10
65949832,Laser,199.99,20
55869706,INKJET,299.99,20
97205838,Laser,199.99,10
35076667,INKJET,49.99,5
15053916,Laser,299.99,5
80099079,,-50.0,10
22237866,,199.99,10
76921384,INKJET,199.99,5
17716468,Inkjet,49.99,20
89602157,Inkjet,299.99,5
31141253,,-50.0,20
92640535,,49.99,0
73048961,Inkjet,49.99,10
61601109,Laser,299.99,10
86340885,laser,299.99,0
27736203,Inkjet,,20
88455488,Inkjet,299.99,1000
62683272,,49.99,5
74952496,laser,299.99,1000
81202164,,,10
14253768,Inkjet,-50.0,5
68376628,Laser,,20
94803686,Inkjet,299.99,10
77847065,laser,299.99,0
42060741,Laser,199.99,10
51373382,,199.99,20
18548877,Laser,,0
97616214,,199.99,20
70934243,INKJET,-50.0,1000
44221201,laser,199.99,5
88267814,,,5
31567138,Inkjet,299.99,10
57837130,Laser,-50.0,1000
86758024,Inkjet,,20
13415747,INKJET,299.99,20
94197747,Inkjet,299.99,10
58268834,Inkjet,299.99,20
