Year,Store,Category,SalesAmount
2020,NIndy,Meat,78569
2020,NIndy,Beverage,142959
2020,NIndy,Vegetable and Fruit,199992
2020,NIndy,Snacks,183358
2020,NIndy,Freezer,131180
2020,NIndy,Dairy,69499
2020,NIndy,Other,103769
2020,SIndy,Meat,198434
2020,SIndy,Beverage,68969
2020,SIndy,Vegetable and Fruit,114230
2020,SIndy,Snacks,60951
2020,SIndy,Freezer,51342
2020,SIndy,Dairy,106324
2020,SIndy,Other,149435
2021,NIndy,Meat,196992
2021,NIndy,Beverage,113314
2021,NIndy,Vegetable and Fruit,87953
2021,NIndy,Snacks,53253
2021,NIndy,Freezer,130992
2021,NIndy,Dairy,177491
2021,NIndy,Other,168864
2021,SIndy,Meat,156848
2021,SIndy,Beverage,76845
2021,SIndy,Vegetable and Fruit,166382
2021,SIndy,Snacks,199103
2021,SIndy,Freezer,169544
2021,SIndy,Dairy,156871
2021,SIndy,Other,88085
2022,NIndy,Meat,192287
2022,NIndy,Beverage,116825
2022,NIndy,Vegetable and Fruit,162907
2022,NIndy,Snacks,137308
2022,NIndy,Freezer,97810
2022,NIndy,Dairy,60129
2022,NIndy,Other,119683
2022,SIndy,Meat,133849
2022,SIndy,Beverage,60803
2022,SIndy,Vegetable and Fruit,174327
2022,SIndy,Snacks,125536
2022,SIndy,Freezer,104491
2022,SIndy,Dairy,108886
2022,SIndy,Other,148722
2023,NIndy,Meat,176402
2023,NIndy,Beverage,81122
2023,NIndy,Vegetable and Fruit,120612
2023,NIndy,Snacks,98428
2023,NIndy,Freezer,120921
2023,NIndy,Dairy,188578
2023,NIndy,Other,137811
2023,SIndy,Meat,132222
2023,SIndy,Beverage,77435
2023,SIndy,Vegetable and Fruit,127422
2023,SIndy,Snacks,91158
2023,SIndy,Freezer,174433
2023,SIndy,Dairy,146817
2023,SIndy,Other,82164
2024,NIndy,Meat,128027
2024,NIndy,Beverage,180045
2024,NIndy,Vegetable and Fruit,151530
2024,NIndy,Snacks,128805
2024,NIndy,Freezer,83447
2024,NIndy,Dairy,127158
2024,NIndy,Other,169227
2024,SIndy,Meat,87880
2024,SIndy,Beverage,111779
2024,SIndy,Vegetable and Fruit,160797
2024,SIndy,Snacks,54205
2024,SIndy,Freezer,187876
2024,SIndy,Dairy,64833
2024,SIndy,Other,156335
