PalletID,Weight_kg
PAL0001,846
PAL0002,1396
PAL0003,1525
PAL0004,602
PAL0005,952
PAL0006,1918
PAL0007,1608
PAL0008,1802
PAL0009,948
PAL0010,1172
PAL0011,1270
PAL0012,1623
PAL0013,992
PAL0014,763
PAL0015,953
PAL0016,1357
PAL0017,1077
PAL0018,1256
PAL0019,1675
PAL0020,1749
PAL0021,738
PAL0022,1074
PAL0023,1013
PAL0024,1627
PAL0025,1229
PAL0026,540
PAL0027,1093
PAL0028,1840
PAL0029,1052
PAL0030,728
PAL0031,1545
PAL0032,1478
PAL0033,775
PAL0034,1606
PAL0035,1957
PAL0036,766
PAL0037,1475
PAL0038,841
PAL0039,1708
PAL0040,722
PAL0041,1419
PAL0042,1732
PAL0043,507
PAL0044,912
PAL0045,1859
PAL0046,1544
PAL0047,1342
PAL0048,760
PAL0049,1095
PAL0050,968
