YearMonth,Branch,BooksBorrowed,Visitors,DonationsReceived,FinesCollected
2024-01,Main Branch,6744,3868,2925,827
2024-01,North Branch,10221,7019,3376,626
2024-01,South Branch,2724,3142,2195,289
2024-01,East Branch,14968,16194,3484,851
2024-01,West Branch,14423,13632,1662,134
2024-02,Main Branch,4273,4976,2731,614
2024-02,North Branch,3110,3362,3338,296
2024-02,South Branch,3905,4355,4217,358
2024-02,East Branch,4059,4443,910,404
2024-02,West Branch,7260,5846,1645,985
2024-03,Main Branch,3230,3303,491,883
2024-03,North Branch,11221,13017,3345,90
2024-03,South Branch,12314,8353,2500,301
2024-03,East Branch,11034,6299,2948,350
2024-03,West Branch,7719,5384,4690,106
2024-04,Main Branch,9976,6252,565,785
2024-04,North Branch,12064,7507,3067,444
2024-04,South Branch,6516,6568,3425,76
2024-04,East Branch,11782,13666,1985,664
2024-04,West Branch,14279,13316,920,760
2024-05,Main Branch,3221,2262,2014,963
2024-05,North Branch,8564,7011,514,783
2024-05,South Branch,2036,2062,3665,948
2024-05,East Branch,12201,11831,2551,322
2024-05,West Branch,4783,4056,710,84
2024-06,Main Branch,8475,4758,2568,480
2024-06,North Branch,1363,1141,1345,178
2024-06,South Branch,4611,4405,3283,112
2024-06,East Branch,5745,4452,3703,237
2024-06,West Branch,4227,2261,4505,361
2024-07,Main Branch,2230,1476,1301,330
2024-07,North Branch,10558,6886,3184,635
2024-07,South Branch,4242,4286,3103,722
2024-07,East Branch,12531,14380,3249,659
2024-07,West Branch,9799,6853,2497,393
2024-08,Main Branch,1820,998,1931,949
2024-08,North Branch,3890,4513,4626,55
2024-08,South Branch,1764,1996,4237,468
2024-08,East Branch,14979,9872,3741,821
2024-08,West Branch,12619,14098,3674,487
2024-09,Main Branch,8663,10040,560,573
2024-09,North Branch,2216,2603,4732,196
2024-09,South Branch,5576,4169,581,623
2024-09,East Branch,5110,4259,523,942
2024-09,West Branch,13970,7116,702,288
2024-10,Main Branch,12429,8644,1960,520
2024-10,North Branch,4382,4671,3246,81
2024-10,South Branch,2336,1879,3922,445
2024-10,East Branch,11318,6373,1628,856
2024-10,West Branch,12049,12745,967,413
2024-11,Main Branch,4233,4825,497,747
2024-11,North Branch,2595,2039,3427,368
2024-11,South Branch,4250,2343,1297,423
2024-11,East Branch,3604,2945,2212,622
2024-11,West Branch,13146,11056,772,880
2024-12,Main Branch,6170,3530,2982,109
2024-12,North Branch,10036,10124,314,561
2024-12,South Branch,3263,1974,2589,417
2024-12,East Branch,2834,1992,1652,520
2024-12,West Branch,2960,2920,2885,887
2025-01,Main Branch,3051,2437,4043,285
2025-01,North Branch,2584,1567,1903,454
2025-01,South Branch,4234,4486,2439,389
2025-01,East Branch,2891,1872,544,649
2025-01,West Branch,1955,1589,3939,433
2025-02,Main Branch,6494,3668,4944,65
2025-02,North Branch,2544,1603,1990,429
2025-02,South Branch,2254,1234,3594,720
2025-02,East Branch,4727,5540,560,373
2025-02,West Branch,3617,3482,4248,219
2025-03,Main Branch,3893,2479,2589,437
2025-03,North Branch,12811,15149,1336,748
2025-03,South Branch,5144,3672,1872,100
2025-03,East Branch,6248,6056,483,237
2025-03,West Branch,14293,11944,607,389
2025-04,Main Branch,6814,6066,3040,611
2025-04,North Branch,7816,6017,393,941
2025-04,South Branch,4937,2747,1192,516
2025-04,East Branch,13044,6902,2405,959
2025-04,West Branch,8096,8165,1330,166
2025-05,Main Branch,4061,2745,2661,799
2025-05,North Branch,14415,10413,4110,580
2025-05,South Branch,10304,9958,459,702
2025-05,East Branch,10353,12349,3703,568
2025-05,West Branch,1575,1667,1129,367
2025-06,Main Branch,14008,7868,3386,287
2025-06,North Branch,11453,12053,3475,341
2025-06,South Branch,8768,5880,4957,536
2025-06,East Branch,8100,4603,726,896
2025-06,West Branch,1998,1138,3387,551
2025-07,Main Branch,4178,4771,2617,824
2025-07,North Branch,5597,3961,3231,375
2025-07,South Branch,3597,3132,2108,79
2025-07,East Branch,6733,5241,2849,85
2025-07,West Branch,12900,9874,3071,511
2025-08,Main Branch,1774,2006,4610,981
2025-08,North Branch,14122,9120,852,566
2025-08,South Branch,2287,2434,842,953
2025-08,East Branch,4946,4633,2602,56
2025-08,West Branch,1792,1945,3574,879
2025-09,Main Branch,2245,1733,1444,614
2025-09,North Branch,12836,13660,959,698
2025-09,South Branch,11752,12807,1501,525
2025-09,East Branch,8050,8626,1309,253
2025-09,West Branch,12604,7160,712,806
2025-10,Main Branch,9847,10904,4909,486
2025-10,North Branch,12985,12190,2169,884
2025-10,South Branch,13169,6635,3252,915
2025-10,East Branch,10406,12121,861,679
2025-10,West Branch,13249,11063,2275,902
2025-11,Main Branch,13826,10862,2690,469
2025-11,North Branch,12634,11088,198,293
2025-11,South Branch,4763,3259,1665,489
2025-11,East Branch,7191,5079,2260,99
2025-11,West Branch,1417,958,4709,710
2025-12,Main Branch,3248,1798,4928,654
2025-12,North Branch,5575,5125,4129,895
2025-12,South Branch,8495,10035,2816,697
2025-12,East Branch,10687,9380,4275,733
2025-12,West Branch,1479,1589,573,228
