CustomerID,CustomerName,CreditRating
CUST001,Hines-Baxter,B
CUST002,Ramirez PLC,C
CUST003,"Robinson, Wilson and Harris",C
CUST004,"Ross, Webb and Cooper",B
CUST005,Baker Group,B
CUST006,Clark Group,A
CUST007,Sawyer Ltd,A
CUST008,Douglas-Greene,A
CUST009,"Lawson, Gonzalez and Santiago",A
CUST010,"Adams, Day and Haynes",A
CUST011,Phelps Inc,D
CUST012,"Bryan, Watson and Charles",A
CUST013,Simpson and Sons,D
CUST014,"Ellis, Jimenez and Powers",D
CUST015,"James, Fischer and Scott",C
CUST016,Brown PLC,D
CUST017,"Price, Cline and Alvarez",D
CUST018,Mejia-Benjamin,C
CUST019,Flores and Sons,D
CUST020,"Blackwell, Miller and Owens",A
