OrderID,CustomerID,OrderDate,Amount,PaymentDate,DeliveryState
ORD0001,CUST014,07/31/2026,5570,09/28/2026,IL
ORD0002,CUST005,07/31/2026,4367,08/07/2026,TX
ORD0003,CUST002,07/31/2026,3830,,IL
ORD0004,CUST010,07/31/2026,4360,08/29/2026,NY
ORD0005,CUST011,07/31/2026,2450,09/27/2026,FL
ORD0006,CUST003,07/31/2026,4210,08/18/2026,NY
ORD0007,CUST012,07/31/2026,3305,,IL
ORD0008,CUST010,07/31/2026,4680,08/22/2026,IL
ORD0009,CUST008,07/31/2026,4952,,TX
ORD0010,CUST020,07/31/2026,4010,08/06/2026,FL
ORD0011,CUST006,07/31/2026,5487,08/07/2026,NV
ORD0012,CUST006,07/31/2026,4847,08/01/2026,TX
ORD0013,CUST012,07/31/2026,4752,08/25/2026,CA
ORD0014,CUST019,07/31/2026,5640,,NV
ORD0015,CUST002,07/31/2026,4762,09/26/2026,NV
ORD0016,CUST020,07/31/2026,3872,08/01/2026,WA
ORD0017,CUST010,07/31/2026,3815,09/23/2026,IL
ORD0018,CUST008,07/31/2026,4080,,TX
ORD0019,CUST015,07/31/2026,5887,,IL
ORD0020,CUST006,07/31/2026,4357,08/12/2026,CA
ORD0021,CUST006,07/31/2026,2897,08/04/2026,NY
ORD0022,CUST004,07/31/2026,3650,09/23/2026,NY
ORD0023,CUST012,07/31/2026,4530,08/12/2026,NV
ORD0024,CUST001,07/31/2026,4820,09/16/2026,CA
ORD0025,CUST016,07/31/2026,4045,08/05/2026,NV
ORD0026,CUST013,07/31/2026,4915,08/29/2026,IL
ORD0027,CUST020,07/31/2026,3187,09/18/2026,NY
ORD0028,CUST018,07/31/2026,3045,08/03/2026,TX
ORD0029,CUST008,07/31/2026,4940,08/13/2026,CA
ORD0030,CUST010,07/31/2026,4542,09/11/2026,IL
ORD0031,CUST019,07/31/2026,2965,08/03/2026,NV
ORD0032,CUST009,07/31/2026,3240,08/22/2026,CA
ORD0033,CUST011,07/31/2026,5335,09/21/2026,TX
ORD0034,CUST007,07/31/2026,3610,08/03/2026,NV
ORD0035,CUST020,07/31/2026,3060,08/18/2026,NV
ORD0036,CUST013,07/31/2026,3565,09/22/2026,NY
ORD0037,CUST011,07/31/2026,5615,,IL
ORD0038,CUST007,07/31/2026,5142,08/28/2026,NV
ORD0039,CUST010,07/31/2026,3112,08/28/2026,TX
ORD0040,CUST017,07/31/2026,4580,08/09/2026,NY
ORD0041,CUST009,07/31/2026,4537,,NV
ORD0042,CUST013,07/31/2026,4480,09/22/2026,CA
ORD0043,CUST002,07/31/2026,3995,08/03/2026,TX
ORD0044,CUST005,07/31/2026,4937,,FL
ORD0045,CUST003,07/31/2026,3785,,WA
ORD0046,CUST010,07/31/2026,5680,,TX
ORD0047,CUST016,07/31/2026,3857,08/05/2026,TX
ORD0048,CUST005,07/31/2026,3395,08/04/2026,WA
ORD0049,CUST017,07/31/2026,4587,09/17/2026,NY
ORD0050,CUST011,07/31/2026,4625,,TX
ORD0051,CUST010,07/31/2026,3387,08/05/2026,NY
ORD0052,CUST009,07/31/2026,4270,08/26/2026,IL
ORD0053,CUST020,07/31/2026,3095,,TX
ORD0054,CUST011,07/31/2026,4930,08/10/2026,TX
ORD0055,CUST016,07/31/2026,4527,09/07/2026,WA
ORD0056,CUST015,07/31/2026,3665,09/24/2026,CA
ORD0057,CUST010,07/31/2026,3905,,NV
ORD0058,CUST016,07/31/2026,4225,08/21/2026,CA
ORD0059,CUST004,07/31/2026,5477,09/20/2026,WA
ORD0060,CUST002,07/31/2026,3230,,NV
ORD0061,CUST014,07/31/2026,3222,08/23/2026,CA
ORD0062,CUST019,07/31/2026,4392,09/14/2026,FL
ORD0063,CUST014,07/31/2026,4252,,IL
ORD0064,CUST010,07/31/2026,4562,,NY
ORD0065,CUST012,07/31/2026,4015,,IL
ORD0066,CUST011,07/31/2026,4050,09/23/2026,WA
ORD0067,CUST015,07/31/2026,5692,09/14/2026,NV
ORD0068,CUST010,07/31/2026,3415,09/21/2026,NY
ORD0069,CUST009,07/31/2026,3907,,CA
ORD0070,CUST006,07/31/2026,3720,08/24/2026,NV
ORD0071,CUST003,07/31/2026,3665,,CA
ORD0072,CUST007,07/31/2026,2612,08/14/2026,TX
ORD0073,CUST006,07/31/2026,3762,,NY
ORD0074,CUST001,07/31/2026,2797,,FL
ORD0075,CUST012,07/31/2026,3875,08/17/2026,NY
ORD0076,CUST019,07/31/2026,2747,08/29/2026,FL
ORD0077,CUST007,07/31/2026,3407,,IL
ORD0078,CUST019,07/31/2026,4457,09/06/2026,WA
ORD0079,CUST007,07/31/2026,3932,,NV
ORD0080,CUST002,07/31/2026,3187,08/07/2026,TX
ORD0081,CUST006,07/31/2026,4045,09/03/2026,FL
ORD0082,CUST016,07/31/2026,4582,08/16/2026,FL
ORD0083,CUST020,07/31/2026,3850,09/07/2026,TX
ORD0084,CUST003,07/31/2026,4140,09/24/2026,FL
ORD0085,CUST013,07/31/2026,2787,,IL
ORD0086,CUST001,07/31/2026,2680,09/10/2026,FL
ORD0087,CUST013,07/31/2026,4897,09/10/2026,NY
ORD0088,CUST006,07/31/2026,4025,09/26/2026,TX
ORD0089,CUST017,07/31/2026,4635,,TX
ORD0090,CUST015,07/31/2026,4635,09/20/2026,IL
ORD0091,CUST005,07/31/2026,3887,09/15/2026,NY
ORD0092,CUST005,07/31/2026,4227,08/25/2026,FL
ORD0093,CUST016,07/31/2026,2857,09/10/2026,NY
ORD0094,CUST011,07/31/2026,5082,,NY
ORD0095,CUST019,07/31/2026,3977,08/27/2026,FL
ORD0096,CUST013,07/31/2026,3495,09/01/2026,NV
ORD0097,CUST016,07/31/2026,4697,08/22/2026,NV
ORD0098,CUST003,07/31/2026,3630,,IL
ORD0099,CUST013,07/31/2026,4137,09/14/2026,CA
ORD0100,CUST010,07/31/2026,3300,,WA
