Division,Year,NetIncome,TotalRevenue,AverageTotalAssets,CurrentAssets,CurrentLiabilities
Floor cleaning,2024,235224,3142096,3073548,1792673,1972520
Floor cleaning,2025,429062,3502436,4818378,2766622,1808112
Lawn care,2024,525760,3901379,3613660,1530369,932800
Lawn care,2025,281264,3184151,4570410,1776291,1360873
Pest control,2024,199817,3940949,4910204,2664195,3335770
Pest control,2025,474408,2530079,2371045,1044725,1227950
Household cleaning,2024,472982,6752336,6365971,2623860,2119692
Household cleaning,2025,610452,4865918,4684133,1586439,2292573
Corporate office cleaning,2024,495228,2499205,3648374,2173663,1610393
Corporate office cleaning,2025,836816,4365345,4611320,1400160,1592493
Plumbing products,2024,590701,3021733,4369207,1548327,1165886
Plumbing products,2025,524738,5260905,6328430,2141612,2149907
