Year,ProductCategory,SalesPercentage,TotalSalesAmount
2022,Baby food,9.4,15040000.0
2022,Beverages,0.3,480000.0
2022,Cereal,0.4,640000.0
2022,Clothes,6.3,10080000.0
2022,Cosmetics,13.8,22080000.0
2022,Fruits,14.8,23680000.0
2022,Household,3.8,6080000.0
2022,Meat,22.5,36000000.0
2022,Office supplies,0.4,640000.0
2022,Personal care,21.8,34880000.0
2022,Snacks,4.3,6880000.0
2022,Vegetables,2.2,3520000.0
2023,Baby food,10.2,17850000.0
2023,Beverages,0.4,700000.0
2023,Cereal,0.3,525000.0
2023,Clothes,5.5,9625000.0
2023,Cosmetics,14.4,25200000.0
2023,Fruits,15.2,26600000.0
2023,Household,3.1,5425000.0
2023,Meat,23.0,40250000.0
2023,Office supplies,0.5,875000.0
2023,Personal care,20.1,35175000.0
2023,Snacks,4.8,8400000.0
2023,Vegetables,2.5,4375000.0
2024,Baby food,13.3,24605000.0
2024,Beverages,0.3,555000.0
2024,Cereal,0.4,740000.0
2024,Clothes,4.5,8325000.0
2024,Cosmetics,15.0,27750000.0
2024,Fruits,15.5,28675000.0
2024,Household,2.3,4255000.0
2024,Meat,21.2,39220000.0
2024,Office supplies,0.4,740000.0
2024,Personal care,19.8,36630000.0
2024,Snacks,4.9,9065000.0
2024,Vegetables,2.4,4440000.0
2025,Baby food,15.5,30225000.0
2025,Beverages,0.4,780000.0
2025,Cereal,0.3,585000.0
2025,Clothes,4.0,7800000.0
2025,Cosmetics,16.2,31590000.0
2025,Fruits,14.8,28860000.0
2025,Household,2.0,3900000.0
2025,Meat,19.5,38025000.0
2025,Office supplies,0.5,975000.0
2025,Personal care,18.2,35490000.0
2025,Snacks,5.8,11310000.0
2025,Vegetables,2.8,5460000.0
