Date,SalesAmount,PurchaseOrdersAmount
01/2022,95226633,111665012
01/2022,77122664,106381472
03/2022,51133952,69940602
04/2022,22610926,26663671
05/2022,30216000,40541916
05/2022,85005700,105436759
06/2022,46573905,53127180
07/2022,31769020,35316549
08/2022,24887994,26281272
09/2022,55779429,62038658
10/2022,41173439,46827046
11/2022,37449640,56041644
12/2022,63013955,83852772
01/2023,81910132,88919543
02/2023,35608786,38734165
03/2023,86631698,93146218
04/2023,83077529,87976589
05/2023,21454335,26867878
06/2023,73523438,82888206
07/2023,79054947,83036738
08/2023,77578190,85774293
09/2023,88901422,104882676
10/2023,84931027,98116315
11/2023,74525184,108008732
12/2023,69684676,101442660
01/2024,89879664,97375356
02/2024,99511788,149129961
03/2024,97617104,137127704
04/2024,71469361,95675126
05/2024,67148479,71949083
06/2024,46602137,57432704
07/2024,90961335,112366138
08/2024,52322537,57282725
09/2024,89782586,93342451
10/2024,37555777,43680839
11/2024,20246857,23260674
12/2024,73806189,82322818
01/2025,99853101,112490518
02/2025,25160663,35971843
03/2025,49260760,67486959
04/2025,65327195,88582290
05/2025,93207191,125932524
06/2025,68026229,74747112
07/2025,98044534,121934841
08/2025,85394563,91087035
09/2025,24434870,30282939
10/2025,89649103,102103965
11/2025,95814238,130836999
