Year,Priority,ShippingMode,ShipmentsCount,ShippingCost
2022,Critical,First class,87,1749.57
2022,Critical,Same day,42,1319.01
2022,Critical,Second class,97,889.23
2022,Critical,Standard class,489,4493.91
2022,High,First class,80,1512.29
2022,High,Same day,41,1271.66
2022,High,Second class,49,505.69
2022,High,Standard class,265,2830.56
2022,Medium,First class,247,5281.9
2022,Medium,Same day,486,14753.41
2022,Medium,Second class,425,4184.5
2022,Medium,Standard class,307,2940.26
2022,Low,First class,176,3526.35
2022,Low,Same day,244,7429.57
2022,Low,Second class,439,4678.4
2022,Low,Standard class,286,2659.97
2023,Critical,First class,32,952.34
2023,Critical,Same day,51,2376.24
2023,Critical,Second class,10,148.42
2023,Critical,Standard class,325,4483.66
2023,High,First class,83,2719.21
2023,High,Same day,28,1311.18
2023,High,Second class,47,655.66
2023,High,Standard class,412,5772.38
2023,Medium,First class,232,6588.89
2023,Medium,Same day,410,19526.8
2023,Medium,Second class,495,7761.91
2023,Medium,Standard class,203,3348.97
2023,Low,First class,353,9843.47
2023,Low,Same day,424,17483.11
2023,Low,Second class,339,4873.32
2023,Low,Standard class,424,6467.37
2024,Critical,First class,10,429.11
2024,Critical,Same day,60,3925.27
2024,Critical,Second class,19,393.32
2024,Critical,Standard class,485,10616.35
2024,High,First class,95,4096.4
2024,High,Same day,73,4106.11
2024,High,Second class,20,405.69
2024,High,Standard class,338,6493.96
2024,Medium,First class,380,15519.53
2024,Medium,Same day,142,8767.05
2024,Medium,Second class,363,6581.44
2024,Medium,Standard class,163,3530.87
2024,Low,First class,405,14964.85
2024,Low,Same day,262,17179.42
2024,Low,Second class,356,7818.82
2024,Low,Standard class,412,7568.98
2025,Critical,First class,53,2589.29
2025,Critical,Same day,35,2593.16
2025,Critical,Second class,95,2527.79
2025,Critical,Standard class,255,6249.37
2025,High,First class,43,2361.14
2025,High,Same day,39,3090.68
2025,High,Second class,49,1172.46
2025,High,Standard class,499,13015.14
2025,Medium,First class,187,9180.1
2025,Medium,Same day,482,39226.24
2025,Medium,Second class,264,6355.05
2025,Medium,Standard class,429,10997.25
2025,Low,First class,228,12523.91
2025,Low,Same day,152,10533.23
2025,Low,Second class,419,9892.03
2025,Low,Standard class,391,10394.08
