Complaint_ID,Date,Source,Category
C0001,01/04/2025,Website,Dirty room
C0002,01/24/2025,Website,Dirty room
C0003,01/26/2025,Website,Dirty room
C0004,01/19/2025,Website,Dirty room
C0005,01/09/2025,Website,Poor wifi
C0006,01/15/2025,Website,Poor wifi
C0007,01/18/2025,Website,Poor wifi
C0008,01/30/2025,Website,Poor wifi
C0009,01/18/2025,Website,Poor wifi
C0010,01/06/2025,Website,Poor wifi
C0011,01/02/2025,Website,Poor wifi
C0012,01/20/2025,Website,Poor wifi
C0013,01/12/2025,Website,Poor wifi
C0014,01/14/2025,Website,Poor wifi
C0015,01/21/2025,Website,Poor wifi
C0016,01/26/2025,Website,Poor wifi
C0017,01/08/2025,Website,Poor wifi
C0018,01/29/2025,Website,Poor wifi
C0019,01/13/2025,Website,Poor wifi
C0020,01/24/2025,Website,Poor wifi
C0021,01/25/2025,Website,Poor wifi
C0022,01/30/2025,Website,Poor wifi
C0023,01/22/2025,Website,Poor wifi
C0024,01/27/2025,Website,Poor wifi
C0025,01/11/2025,Website,Poor wifi
C0026,01/04/2025,Website,Poor wifi
C0027,01/17/2025,Website,Unexpected fees
C0028,01/12/2025,Website,Unexpected fees
C0029,01/29/2025,Website,Unfriendly staff
C0030,01/16/2025,Website,Unfriendly staff
C0031,01/02/2025,Website,Unfriendly staff
C0032,01/13/2025,Website,Unfriendly staff
C0033,01/27/2025,Website,Unfriendly staff
C0034,01/27/2025,Website,Unfriendly staff
C0035,01/27/2025,Website,Unfriendly staff
C0036,01/04/2025,Website,Unfriendly staff
C0037,01/15/2025,Website,Unfriendly staff
C0038,01/23/2025,Website,Unfriendly staff
C0039,01/13/2025,Website,Unfriendly staff
C0040,01/04/2025,Website,Unfriendly staff
C0041,01/02/2025,Website,Unfriendly staff
C0042,01/01/2025,Website,Unfriendly staff
C0043,01/12/2025,ratemyhotel.com,Dirty room
C0044,01/26/2025,ratemyhotel.com,Dirty room
C0045,01/07/2025,ratemyhotel.com,Poor wifi
C0046,01/06/2025,ratemyhotel.com,Poor wifi
C0047,01/26/2025,ratemyhotel.com,Poor wifi
C0048,01/02/2025,ratemyhotel.com,Poor wifi
C0049,01/25/2025,ratemyhotel.com,Rodents
C0050,01/19/2025,ratemyhotel.com,Rodents
C0051,01/09/2025,ratemyhotel.com,Unexpected fees
C0052,01/04/2025,ratemyhotel.com,Unexpected fees
C0053,01/24/2025,ratemyhotel.com,Unexpected fees
C0054,01/12/2025,ratemyhotel.com,Unexpected fees
C0055,01/07/2025,ratemyhotel.com,Unexpected fees
C0056,01/10/2025,ratemyhotel.com,Unexpected fees
C0057,01/08/2025,ratemyhotel.com,Unexpected fees
C0058,01/18/2025,ratemyhotel.com,Unfriendly staff
C0059,01/25/2025,ratemyhotel.com,Unfriendly staff
C0060,01/11/2025,ratemyhotel.com,Unfriendly staff
C0061,01/15/2025,ratemyhotel.com,Unfriendly staff
C0062,01/04/2025,ratemyhotel.com,Unfriendly staff
C0063,01/11/2025,ratemyhotel.com,Unfriendly staff
C0064,01/25/2025,ratemyhotel.com,Unfriendly staff
C0065,01/15/2025,ratemyhotel.com,Unfriendly staff
C0066,01/24/2025,ratemyhotel.com,Unfriendly staff
C0067,01/01/2025,ratemyhotel.com,Unfriendly staff
C0068,01/22/2025,ratemyhotel.com,Unfriendly staff
C0069,01/03/2025,ratemyhotel.com,Unfriendly staff
C0070,01/15/2025,ratemyhotel.com,Unfriendly staff
C0071,01/15/2025,ratemyhotel.com,Unfriendly staff
C0072,01/15/2025,ratemyhotel.com,Unfriendly staff
C0073,01/25/2025,ratemyhotel.com,Unfriendly staff
C0074,01/02/2025,ratemyhotel.com,Unfriendly staff
C0075,01/11/2025,ratemyhotel.com,Unfriendly staff
C0076,01/16/2025,ratemyhotel.com,Unfriendly staff
C0077,01/28/2025,ratemyhotel.com,Unfriendly staff
C0078,01/20/2025,ratemyhotel.com,Unfriendly staff
C0079,01/14/2025,ratemyhotel.com,Unfriendly staff
C0080,01/08/2025,ratemyhotel.com,Unfriendly staff
C0081,01/23/2025,ratemyhotel.com,Unfriendly staff
C0082,01/26/2025,ratemyhotel.com,Unfriendly staff
C0083,01/02/2025,ratemyhotel.com,Unfriendly staff
C0084,01/01/2025,ratemyhotel.com,Unfriendly staff
C0085,01/06/2025,ratemyhotel.com,Unfriendly staff
C0086,01/24/2025,ratemyhotel.com,Unfriendly staff
C0087,01/13/2025,ratemyhotel.com,Unfriendly staff
C0088,01/25/2025,ratemyhotel.com,Unfriendly staff
C0089,01/01/2025,ratemyhotel.com,Unfriendly staff
C0090,01/12/2025,ratemyhotel.com,Unfriendly staff
C0091,01/30/2025,ratemyhotel.com,Unfriendly staff
C0092,01/07/2025,ratemyhotel.com,Unfriendly staff
C0093,01/19/2025,ratemyhotel.com,Unfriendly staff
C0094,01/12/2025,ratemyhotel.com,Unfriendly staff
C0095,01/04/2025,ratemyhotel.com,Unfriendly staff
C0096,01/08/2025,ratemyhotel.com,Unfriendly staff
C0097,01/07/2025,ratemyhotel.com,Unfriendly staff
C0098,01/02/2025,ratemyhotel.com,Unfriendly staff
C0099,01/18/2025,ratemyhotel.com,Unfriendly staff
C0100,01/25/2025,ratemyhotel.com,Unfriendly staff
C0101,01/01/2025,ratemyhotel.com,Unfriendly staff
C0102,01/03/2025,ratemyhotel.com,Unfriendly staff
C0103,01/25/2025,ratemyhotel.com,Unfriendly staff
C0104,01/18/2025,ratemyhotel.com,Unfriendly staff
C0105,01/05/2025,ratemyhotel.com,Unfriendly staff
C0106,01/24/2025,ratemyhotel.com,Unfriendly staff
C0107,01/13/2025,ratemyhotel.com,Unfriendly staff
C0108,01/21/2025,ratemyhotel.com,Unfriendly staff
C0109,01/05/2025,ratemyhotel.com,Unfriendly staff
C0110,01/08/2025,ratemyhotel.com,Unfriendly staff
C0111,01/17/2025,ratemyhotel.com,Unfriendly staff
C0112,01/18/2025,ratemyhotel.com,Unfriendly staff
C0113,01/05/2025,ratemyhotel.com,Unfriendly staff
C0114,01/19/2025,ratemyhotel.com,Unfriendly staff
C0115,01/13/2025,ratemyhotel.com,Unfriendly staff
C0116,01/12/2025,ratemyhotel.com,Unfriendly staff
C0117,01/17/2025,ratemyhotel.com,Unfriendly staff
C0118,01/26/2025,Call,Dirty room
C0119,01/11/2025,Call,Dirty room
C0120,01/04/2025,Call,Room temp
C0121,01/22/2025,Call,Room temp
C0122,01/20/2025,Call,Unexpected fees
C0123,01/17/2025,Call,Unexpected fees
C0124,01/05/2025,Call,Unfriendly staff
C0125,01/05/2025,Call,Unfriendly staff
C0126,01/27/2025,Call,Unfriendly staff
C0127,01/29/2025,Call,Unfriendly staff
C0128,01/19/2025,Call,Unfriendly staff
C0129,01/23/2025,Call,Unfriendly staff
C0130,01/23/2025,Call,Unfriendly staff
C0131,01/14/2025,Call,Unfriendly staff
C0132,01/04/2025,Call,Unfriendly staff
C0133,01/25/2025,Call,Unfriendly staff
C0134,01/22/2025,Call,Unfriendly staff
C0135,01/06/2025,Call,Unfriendly staff
C0136,01/23/2025,Call,Unfriendly staff
C0137,01/22/2025,Call,Unfriendly staff
C0138,01/15/2025,Call,Unfriendly staff
C0139,01/29/2025,Call,Unfriendly staff
C0140,01/07/2025,Mail,Unfriendly staff
C0141,01/29/2025,Mail,Unfriendly staff
C0142,01/20/2025,Mail,Unfriendly staff
C0143,01/05/2025,Mail,Unfriendly staff
C0144,01/15/2025,Mail,Unfriendly staff
C0145,01/03/2025,Mail,Unfriendly staff
C0146,01/23/2025,Mail,Unfriendly staff
C0147,01/06/2025,Mail,Unfriendly staff
C0148,01/07/2025,Mail,Unfriendly staff
C0149,01/11/2025,Mail,Unfriendly staff
C0150,01/26/2025,Mail,Unfriendly staff
C0151,01/04/2025,Mail,Unfriendly staff
C0152,01/27/2025,Mail,Unfriendly staff
C0153,01/18/2025,Mail,Unfriendly staff
C0154,01/28/2025,Mail,Unfriendly staff
C0155,01/28/2025,Mail,Unfriendly staff
C0156,01/01/2025,Mail,Unfriendly staff
C0157,01/16/2025,Mail,Unfriendly staff
C0158,01/01/2025,Mail,Unfriendly staff
C0159,01/21/2025,Mail,Unfriendly staff
C0160,01/21/2025,Mail,Unfriendly staff
C0161,01/27/2025,Mail,Unfriendly staff
C0162,01/07/2025,Mail,Unfriendly staff
C0163,01/30/2025,Mail,Unfriendly staff
C0164,01/28/2025,Mail,Unfriendly staff
C0165,01/13/2025,Mail,Unfriendly staff
C0166,01/06/2025,Mail,Unfriendly staff
C0167,01/22/2025,Mail,Unfriendly staff
C0168,01/23/2025,Mail,Unfriendly staff
C0169,01/08/2025,Mail,Unfriendly staff
C0170,01/17/2025,Mail,Unfriendly staff
C0171,01/25/2025,Mail,Unfriendly staff
C0172,01/13/2025,Mail,Unfriendly staff
C0173,01/16/2025,Mail,Unfriendly staff
C0174,01/29/2025,Mail,Unfriendly staff
C0175,01/21/2025,Mail,Unfriendly staff
C0176,01/02/2025,Mail,Unfriendly staff
C0177,01/15/2025,Mail,Unfriendly staff
C0178,01/22/2025,Mail,Unfriendly staff
C0179,01/26/2025,Mail,Unfriendly staff
C0180,01/24/2025,Mail,Unfriendly staff
C0181,01/29/2025,Mail,Unfriendly staff
C0182,01/04/2025,Mail,Unfriendly staff
C0183,01/09/2025,Mail,Unfriendly staff
C0184,01/13/2025,Mail,Unfriendly staff
C0185,01/30/2025,Mail,Unfriendly staff
C0186,01/06/2025,Mail,Unfriendly staff
C0187,01/30/2025,Mail,Unfriendly staff
C0188,01/14/2025,Mail,Unfriendly staff
C0189,01/07/2025,Mail,Unfriendly staff
C0190,01/26/2025,Mail,Unfriendly staff
C0191,01/02/2025,Mail,Unfriendly staff
C0192,01/22/2025,Mail,Unfriendly staff
C0193,01/20/2025,Mail,Unfriendly staff
C0194,01/28/2025,Mail,Unfriendly staff
C0195,01/27/2025,Mail,Unfriendly staff
C0196,01/05/2025,Mail,Unfriendly staff
C0197,01/03/2025,Mail,Unfriendly staff
C0198,01/03/2025,Mail,Unfriendly staff
C0199,01/02/2025,Mail,Unfriendly staff
C0200,01/02/2025,Mail,Unfriendly staff
C0201,01/20/2025,Mail,Unfriendly staff
C0202,01/07/2025,Mail,Unfriendly staff
C0203,01/07/2025,Mail,Unfriendly staff
C0204,01/04/2025,Mail,Unfriendly staff
C0205,01/16/2025,Mail,Unfriendly staff
C0206,01/07/2025,Mail,Unfriendly staff
C0207,01/14/2025,Mail,Unfriendly staff
C0208,01/12/2025,Mail,Unfriendly staff
C0209,01/11/2025,Mail,Unfriendly staff
C0210,01/08/2025,Mail,Unfriendly staff
C0211,01/26/2025,Mail,Unfriendly staff
C0212,01/23/2025,Mail,Unfriendly staff
C0213,01/16/2025,Mail,Unfriendly staff
C0214,01/10/2025,Mail,Unfriendly staff
C0215,01/21/2025,Mail,Unfriendly staff
C0216,01/17/2025,Mail,Unfriendly staff
C0217,01/21/2025,Mail,Unfriendly staff
C0218,01/27/2025,Mail,Unfriendly staff
C0219,01/07/2025,Mail,Unfriendly staff
C0220,01/18/2025,Mail,Unfriendly staff
C0221,01/27/2025,Mail,Unfriendly staff
C0222,01/14/2025,Mail,Unfriendly staff
C0223,01/29/2025,Mail,Unfriendly staff
C0224,01/06/2025,Mail,Unfriendly staff
C0225,01/25/2025,Mail,Unfriendly staff
C0226,01/25/2025,Mail,Unfriendly staff
C0227,01/22/2025,Mail,Unfriendly staff
C0228,01/12/2025,Mail,Unfriendly staff
C0229,01/02/2025,Mail,Unfriendly staff
