TransactionID,SalespersonID,DistributorName,UnitsSold,UnitPrice,SaleDate
TXN1000,SP01,UNAPPROVED DIST,12,279,03/12/2026
TXN1001,SP01,UNAPPROVED DIST,1216,279,11/08/2025
TXN1002,SP04,Distributor B,98,279,08/15/2025
TXN1003,SP01,Distributor C,1418,279,07/13/2026
TXN1004,SP02,UNAPPROVED DIST,119,279,07/31/2025
TXN1005,SP05,Distributor B,116,279,06/07/2026
TXN1006,SP02,Distributor B,130,279,12/06/2025
TXN1007,SP02,Distributor B,152,279,04/12/2026
TXN1008,SP02,Distributor C,195,279,01/08/2026
TXN1009,SP02,Distributor C,174,279,04/03/2026
TXN1010,SP01,Distributor B,188,279,04/24/2026
TXN1011,SP03,Distributor A,196,279,07/07/2026
TXN1012,SP02,UNAPPROVED DIST,195,279,05/22/2026
TXN1013,SP01,Distributor B,185,279,05/24/2026
TXN1014,SP04,Distributor A,168,279,11/27/2025
TXN1015,SP03,Distributor B,166,279,12/27/2025
TXN1016,SP05,Distributor B,98,279,09/09/2025
TXN1017,SP02,UNAPPROVED DIST,96,279,10/09/2025
TXN1018,SP01,Distributor C,72,250,09/04/2025
TXN1019,SP05,Distributor B,160,279,11/19/2025
TXN1020,SP04,Distributor B,157,299,06/10/2026
TXN1021,SP05,Distributor C,153,279,12/27/2025
TXN1022,SP05,Distributor B,185,0,02/05/2026
TXN1023,SP04,Distributor B,127,279,01/20/2026
TXN1024,SP05,Distributor A,141,279,05/19/2026
TXN1025,SP03,Distributor C,18,250,09/09/2025
TXN1026,SP04,UNAPPROVED DIST,14,279,01/12/2026
TXN1027,SP01,Distributor C,56,279,03/22/2026
TXN1028,SP05,Distributor A,146,279,02/09/2026
TXN1029,SP01,Distributor C,12,279,09/25/2025
TXN1030,SP05,Distributor B,51,279,03/14/2026
TXN1031,SP01,Distributor A,182,279,11/24/2025
TXN1032,SP03,Distributor A,91,279,06/30/2026
TXN1033,SP03,Distributor C,104,279,08/08/2025
TXN1034,SP02,UNAPPROVED DIST,85,279,08/14/2025
TXN1035,SP01,Distributor C,45,279,01/23/2026
TXN1036,SP03,Distributor C,14,279,05/26/2026
TXN1037,SP05,Distributor B,121,279,12/08/2025
TXN1038,SP01,Distributor B,195,299,02/03/2026
TXN1039,SP04,UNAPPROVED DIST,165,279,02/20/2026
TXN1040,SP01,Distributor A,1084,279,01/04/2026
TXN1041,SP02,UNAPPROVED DIST,70,279,06/08/2026
TXN1042,SP02,UNAPPROVED DIST,88,279,10/09/2025
TXN1043,SP03,Distributor C,125,279,03/08/2026
TXN1044,SP02,Distributor A,85,279,11/09/2025
TXN1045,SP01,Distributor C,132,279,06/06/2026
TXN1046,SP04,UNAPPROVED DIST,58,279,05/16/2026
TXN1047,SP04,Distributor A,169,279,10/08/2025
TXN1048,SP04,UNAPPROVED DIST,129,279,11/06/2025
TXN1049,SP05,Distributor C,1155,279,04/12/2026
TXN1050,SP03,Distributor B,21,279,07/18/2026
TXN1051,SP01,Distributor B,62,279,02/13/2026
TXN1052,SP04,Distributor B,34,279,05/13/2026
TXN1053,SP01,Distributor A,178,279,10/12/2025
TXN1054,SP05,UNAPPROVED DIST,11,279,09/06/2025
TXN1055,SP01,Distributor A,185,279,02/10/2026
TXN1056,SP05,Distributor C,145,279,09/14/2025
TXN1057,SP01,Distributor A,158,279,10/09/2025
TXN1058,SP01,Distributor C,51,279,02/17/2026
TXN1059,SP02,Distributor B,41,279,08/21/2025
TXN1060,SP03,Distributor C,144,279,12/11/2025
TXN1061,SP03,Distributor B,19,279,03/28/2026
TXN1062,SP02,Distributor C,45,279,10/05/2025
TXN1063,SP01,Distributor A,1075,279,12/03/2025
TXN1064,SP02,Distributor A,52,279,02/15/2026
TXN1065,SP01,UNAPPROVED DIST,55,279,07/23/2026
TXN1066,SP05,Distributor B,176,279,07/29/2026
TXN1067,SP03,Distributor B,100,279,06/06/2026
TXN1068,SP04,Distributor A,127,279,02/01/2026
TXN1069,SP03,UNAPPROVED DIST,100,279,10/08/2025
TXN1070,SP02,Distributor B,155,279,09/17/2025
TXN1071,SP04,Distributor C,44,299,04/22/2026
TXN1072,SP01,Distributor B,198,279,04/16/2026
TXN1073,SP01,Distributor C,43,279,02/21/2026
TXN1074,SP03,Distributor B,41,279,08/02/2025
TXN1075,SP02,Distributor C,88,279,06/02/2026
TXN1076,SP05,Distributor C,34,279,10/03/2025
TXN1077,SP04,Distributor C,188,279,10/22/2025
TXN1078,SP01,Distributor B,127,279,07/11/2026
TXN1079,SP02,Distributor C,186,279,07/31/2026
TXN1080,SP05,Distributor C,57,279,11/08/2025
TXN1081,SP02,Distributor A,144,279,03/05/2026
TXN1082,SP01,Distributor C,133,279,04/18/2026
TXN1083,SP05,Distributor C,1280,279,03/04/2026
TXN1084,SP01,Distributor C,95,279,06/20/2026
TXN1085,SP01,Distributor B,196,279,09/08/2025
TXN1086,SP01,Distributor C,196,279,06/16/2026
TXN1087,SP01,Distributor A,141,279,08/08/2025
TXN1088,SP01,Distributor C,35,279,06/04/2026
TXN1089,SP04,Distributor B,129,299,01/30/2026
TXN1090,SP02,Distributor C,48,250,04/08/2026
TXN1091,SP04,Distributor C,1060,279,04/25/2026
TXN1092,SP03,UNAPPROVED DIST,14,279,12/12/2025
TXN1093,SP03,Distributor C,88,279,10/31/2025
TXN1094,SP01,UNAPPROVED DIST,125,279,01/29/2026
TXN1095,SP02,UNAPPROVED DIST,107,279,01/15/2026
TXN1096,SP01,Distributor B,67,279,07/04/2026
TXN1097,SP05,Distributor A,108,279,11/06/2025
TXN1098,SP02,UNAPPROVED DIST,180,279,09/26/2025
TXN1099,SP04,Distributor C,137,279,11/13/2025
