EmployeeID,JobID,WeekNo,DayOfWeek,Date,HoursWorked
ERF007,3405,1,Thursday,1/2/2025,4
ERF007,3405,1,Friday,1/3/2025,8
ERF007,3405,1,Saturday,1/4/2025,4
ERF008,3406,1,Thursday,1/2/2025,4
ERF008,3406,1,Friday,1/3/2025,8
ERF008,3406,1,Saturday,1/4/2025,8
ERF007,3407,1,Thursday,1/2/2025,4
ERF007,3407,1,Friday,1/3/2025,8
ERF007,3407,1,Saturday,1/4/2025,0
IR68,3408,1,Thursday,1/2/2025,8
IR68,3408,1,Friday,1/3/2025,4
IR68,3408,1,Saturday,1/4/2025,4
ERF008,4608,2,Monday,1/6/2025,8
ERF008,4608,2,Tuesday,1/7/2025,8
ERF008,4608,2,Wednesday,1/8/2025,8
ERF008,4608,2,Thursday,1/9/2025,8
ERF008,4608,2,Friday,1/10/2025,8
ERF008,4608,2,Saturday,1/11/2025,4
ERF008,4609,2,Monday,1/6/2025,8
ERF008,4609,2,Tuesday,1/7/2025,8
ERF008,4609,2,Wednesday,1/8/2025,4
ERF008,4609,2,Thursday,1/9/2025,8
ERF008,4609,2,Friday,1/10/2025,8
ERF008,4609,2,Saturday,1/11/2025,4
IR68,4610,2,Monday,1/6/2025,4
IR68,4610,2,Tuesday,1/7/2025,8
IR68,4610,2,Wednesday,1/8/2025,10
IR68,4610,2,Thursday,1/9/2025,8
IR68,4610,2,Friday,1/10/2025,8
IR68,4610,2,Saturday,1/11/2025,4
IR101,4611,2,Monday,1/6/2025,6
IR101,4611,2,Tuesday,1/7/2025,8
IR101,4611,2,Wednesday,1/8/2025,8
IR101,4611,2,Thursday,1/9/2025,8
IR101,4611,2,Friday,1/10/2025,8
IR101,4611,2,Saturday,1/11/2025,4
