Date,Restaurant_Branch,Daily_Sales
01/01/2025,Wok,21189
01/01/2025,Dumpling,11573
01/02/2025,Wok,18232
01/02/2025,Dumpling,15606
01/03/2025,Wok,24416
01/03/2025,Dumpling,14154
01/04/2025,Wok,22703
01/04/2025,Dumpling,16865
01/05/2025,Wok,21986
01/05/2025,Dumpling,13859
01/06/2025,Wok,19344
01/06/2025,Dumpling,15097
01/07/2025,Wok,18425
01/07/2025,Dumpling,11685
01/08/2025,Wok,21306
01/08/2025,Dumpling,13356
01/09/2025,Wok,22856
01/09/2025,Dumpling,12658
01/10/2025,Wok,20199
01/10/2025,Dumpling,10263
01/11/2025,Wok,18169
01/11/2025,Dumpling,14272
01/12/2025,Wok,19686
01/12/2025,Dumpling,16818
01/13/2025,Wok,23550
01/13/2025,Dumpling,15301
01/14/2025,Wok,22523
01/14/2025,Dumpling,14520
01/15/2025,Wok,18104
01/15/2025,Dumpling,17569
01/16/2025,Wok,23381
01/16/2025,Dumpling,14423
01/17/2025,Wok,21557
01/17/2025,Dumpling,10141
01/18/2025,Wok,19847
01/18/2025,Dumpling,14612
01/19/2025,Wok,20216
01/19/2025,Dumpling,11160
01/20/2025,Wok,18427
01/20/2025,Dumpling,11686
01/21/2025,Wok,24780
01/21/2025,Dumpling,15144
01/22/2025,Wok,23088
01/22/2025,Dumpling,10665
01/23/2025,Wok,23147
01/23/2025,Dumpling,13462
01/24/2025,Wok,23628
01/24/2025,Dumpling,16124
01/25/2025,Wok,23019
01/25/2025,Dumpling,12730
01/26/2025,Wok,21142
01/26/2025,Dumpling,13796
01/27/2025,Wok,21129
01/27/2025,Dumpling,17771
01/28/2025,Wok,19228
01/28/2025,Dumpling,14217
01/29/2025,Wok,20531
01/29/2025,Dumpling,10907
01/30/2025,Wok,24969
01/30/2025,Dumpling,15271
01/31/2025,Wok,24917
01/31/2025,Dumpling,10699
02/01/2025,Wok,20787
02/01/2025,Dumpling,10689
02/02/2025,Wok,23367
02/02/2025,Dumpling,16202
02/03/2025,Wok,23248
02/03/2025,Dumpling,14813
02/04/2025,Wok,24809
02/04/2025,Dumpling,17419
02/05/2025,Wok,23322
02/05/2025,Dumpling,16136
02/06/2025,Wok,24750
02/06/2025,Dumpling,16053
02/07/2025,Wok,22605
02/07/2025,Dumpling,14724
02/08/2025,Wok,19511
02/08/2025,Dumpling,14881
02/09/2025,Wok,19566
02/09/2025,Dumpling,14197
02/10/2025,Wok,23960
02/10/2025,Dumpling,13874
02/11/2025,Wok,22649
02/11/2025,Dumpling,12513
02/12/2025,Wok,18738
02/12/2025,Dumpling,15414
02/13/2025,Wok,20178
02/13/2025,Dumpling,13502
02/14/2025,Wok,20806
02/14/2025,Dumpling,13707
02/15/2025,Wok,24144
02/15/2025,Dumpling,11900
02/16/2025,Wok,22547
02/16/2025,Dumpling,12828
02/17/2025,Wok,19720
02/17/2025,Dumpling,15931
02/18/2025,Wok,20200
02/18/2025,Dumpling,16304
02/19/2025,Wok,22591
02/19/2025,Dumpling,13069
02/20/2025,Wok,21330
02/20/2025,Dumpling,10836
02/21/2025,Wok,21999
02/21/2025,Dumpling,12905
02/22/2025,Wok,18846
02/22/2025,Dumpling,11770
02/23/2025,Wok,20771
02/23/2025,Dumpling,12834
02/24/2025,Wok,23997
02/24/2025,Dumpling,12122
02/25/2025,Wok,18281
02/25/2025,Dumpling,10451
02/26/2025,Wok,21676
02/26/2025,Dumpling,14995
02/27/2025,Wok,22788
02/27/2025,Dumpling,12108
02/28/2025,Wok,20680
02/28/2025,Dumpling,13543
03/01/2025,Wok,19312
03/01/2025,Dumpling,11911
03/02/2025,Wok,18740
03/02/2025,Dumpling,15383
03/03/2025,Wok,24678
03/03/2025,Dumpling,14762
03/04/2025,Wok,19115
03/04/2025,Dumpling,13018
03/05/2025,Wok,23312
03/05/2025,Dumpling,11148
03/06/2025,Wok,18083
03/06/2025,Dumpling,13152
03/07/2025,Wok,23919
03/07/2025,Dumpling,10407
03/08/2025,Wok,24829
03/08/2025,Dumpling,16683
03/09/2025,Wok,21087
03/09/2025,Dumpling,15627
03/10/2025,Wok,18137
03/10/2025,Dumpling,12224
03/11/2025,Wok,21932
03/11/2025,Dumpling,17227
03/12/2025,Wok,21654
03/12/2025,Dumpling,14452
03/13/2025,Wok,24397
03/13/2025,Dumpling,11957
03/14/2025,Wok,19976
03/14/2025,Dumpling,12966
03/15/2025,Wok,22207
03/15/2025,Dumpling,16695
03/16/2025,Wok,19638
03/16/2025,Dumpling,16401
03/17/2025,Wok,22430
03/17/2025,Dumpling,10873
03/18/2025,Wok,21406
03/18/2025,Dumpling,15040
03/19/2025,Wok,22995
03/19/2025,Dumpling,17691
03/20/2025,Wok,20045
03/20/2025,Dumpling,12501
03/21/2025,Wok,21442
03/21/2025,Dumpling,17475
03/22/2025,Wok,19228
03/22/2025,Dumpling,16272
03/23/2025,Wok,19800
03/23/2025,Dumpling,17807
03/24/2025,Wok,19342
03/24/2025,Dumpling,15372
03/25/2025,Wok,19571
03/25/2025,Dumpling,15165
03/26/2025,Wok,20961
03/26/2025,Dumpling,12313
03/27/2025,Wok,24437
03/27/2025,Dumpling,10443
03/28/2025,Wok,23243
03/28/2025,Dumpling,10692
03/29/2025,Wok,23808
03/29/2025,Dumpling,10860
03/30/2025,Wok,18498
03/30/2025,Dumpling,11194
03/31/2025,Wok,21266
03/31/2025,Dumpling,16628
