Original_File,Extracted_Text,Proposed_Filename
page_10_1785339945139.png,Unknown_ILLUSTRATION 1.8,Unknown_ILLUSTRATION 1.8.png
page_11_1785339963242.png,Unknown_Illustration 1.9 is an analysi,Unknown_Illustration 1.9 is an analysi.png
page_12_1785339977300.png,Unknown_ILLUSTRATION 1.10,Unknown_ILLUSTRATION 1.10.png
page_13_1785339989504.png,Unknown_ILLUSTRATION 1.11,Unknown_ILLUSTRATION 1.11.png
page_14_1785340010584.png,Unknown_ILLUSTRATION 1.12,Unknown_ILLUSTRATION 1.12.png
page_15_1785340023358.png,Unknown_ILLUSTRATION 1.13,Unknown_ILLUSTRATION 1.13.png
page_16_1785340037013.png,Unknown_ILLUSTRATION 1.14,Unknown_ILLUSTRATION 1.14.png
page_17_1785340054309.png,Unknown_ILLUSTRATION 1.15,Unknown_ILLUSTRATION 1.15.png
page_20_1785340086042.png,Unknown_ILLUSTRATION 1.16,Unknown_ILLUSTRATION 1.16.png
page_21_1785340099628.png,Unknown_ILLUSTRATION 1.17,Unknown_ILLUSTRATION 1.17.png
page_23_1785340116593.png,Unknown_ILLUSTRATION 1.19,Unknown_ILLUSTRATION 1.19.png
page_23_1785340124979.png,Unknown_ILLUSTRATION 1.18,Unknown_ILLUSTRATION 1.18.png
page_25_1785340140938.png,Unknown_ILLUSTRATION 1.20,Unknown_ILLUSTRATION 1.20.png
page_26_1785340151780.png,Unknown_ILLUSTRATION 1.21,Unknown_ILLUSTRATION 1.21.png
page_32_1785340201585.png,Unknown_BE L.1 (LO 1),Unknown_BE L.1 (LO 1).png
page_33_1785340215764.png,Unknown_BE 1.6 (LO 2),Unknown_BE 1.6 (LO 2).png
page_4_1785339834850.png,Unknown_ILLUSTRATION 1.1,Unknown_ILLUSTRATION 1.1.png
page_4_1785339846870.png,Unknown_ILLUSTRATION 1.2,Unknown_ILLUSTRATION 1.2.png
page_5_1785339872855.png,Unknown_ILLUSTRATION 1.3,Unknown_ILLUSTRATION 1.3.png
page_5_1785339883865.png,Unknown_ILLUSTRATION 1.4,Unknown_ILLUSTRATION 1.4.png
page_6_1785339895409.png,Unknown_ILLUSTRATION 1.5,Unknown_ILLUSTRATION 1.5.png
page_8_1785339914803.png,Unknown_ILLUSTRATION 1.6,Unknown_ILLUSTRATION 1.6.png
page_9_1785339926507.png,Unknown_ILLUSTRATION 1.7,Unknown_ILLUSTRATION 1.7.png
