Ngày CT,Số CT,TK Nợ,TK Có,Số tiền,Nội dung,Bộ phận,Mã KH,Mã NCC,IFRS_Category,IFRS_Standard,IFRS_Category,IFRS_Standard
25/03/2024,CT884162,632,632,25950381.26đ,Giao dịch mua bán,IT,CUST0096,VEND0158,Expense,IAS 1,Expense,IAS 1
30/07/2024,CT054286,642,152,8251621.55đ,Giao dịch mua bán,Finance,CUST0011,VEND0118,Expense,IAS 1,Expense,IAS 1
26/08/2024,CT971132,111,156,48290563.71đ,Giao dịch mua bán,HR,CUST0137,VEND0052,Asset,IAS 16,Asset,IAS 16
04/12/2024,CT631983,642,152,4436655.08đ,Giao dịch mua bán,Sales,CUST0185,VEND0090,Expense,IAS 1,Expense,IAS 1
02/10/2024,CT936331,511,511,43150597.5đ,Giao dịch mua bán,Sales,CUST0178,VEND0166,Revenue,IFRS 15,Revenue,IFRS 15
08/03/2024,CT276598,112,131,18147103.79đ,Giao dịch mua bán,HR,CUST0179,VEND0080,Asset,IAS 16,Asset,IAS 16
16/12/2024,CT500072,111,331,31439641.36đ,Giao dịch mua bán,Finance,CUST0167,VEND0188,Asset,IAS 16,Asset,IAS 16
24/12/2024,CT178306,211,214,6339140.51đ,Giao dịch mua bán,HR,CUST0185,VEND0005,Asset,IAS 16,Asset,IAS 16
12/04/2024,CT679926,111,156,7727656.79đ,Giao dịch mua bán,HR,CUST0122,VEND0087,Asset,IAS 16,Asset,IAS 16
17/09/2024,CT842493,642,111,27221250.81đ,Giao dịch mua bán,IT,CUST0079,VEND0060,Expense,IAS 1,Expense,IAS 1
13/06/2024,CT587711,214,511,27326208.82đ,Giao dịch mua bán,Finance,CUST0068,VEND0178,Asset,IAS 16,Asset,IAS 16
16/03/2024,CT043476,632,214,7590395.37đ,Giao dịch mua bán,HR,CUST0129,VEND0149,Expense,IAS 1,Expense,IAS 1
26/01/2024,CT496358,331,111,17255892.3đ,Giao dịch mua bán,Production,CUST0048,VEND0004,Liability,IAS 37,Liability,IAS 37
24/01/2024,CT353723,152,214,16665494.17đ,Giao dịch mua bán,Production,CUST0175,VEND0111,Asset,IAS 16,Asset,IAS 16
28/07/2024,CT175203,111,111,25476770.48đ,Giao dịch mua bán,Production,CUST0129,VEND0140,Asset,IAS 16,Asset,IAS 16
30/08/2024,CT369604,152,511,16563832.75đđ,Giao dịch mua bán,IT,CUST0055,VEND0072,Asset,IAS 16,Asset,IAS 16
25/03/2024,CT068257,156,111,12539622.08đ,Giao dịch mua bán,Production,CUST0140,VEND0105,Asset,IAS 16,Asset,IAS 16
15/01/2024,CT166976,131,331,19488320.16đ,Giao dịch mua bán,Finance,CUST0186,VEND0041,Asset,IAS 16,Asset,IAS 16
15/02/2024,CT890540,112,211,39366761.59đ,Giao dịch mua bán,HR,CUST0179,VEND0155,Asset,IAS 16,Asset,IAS 16
