InvoiceID,Date,CustomerID,CustomerCategory,CustomerState,CoffeeOrigin,Quantity_lbs,UnitPrice,COGS_per_unit,Sales,TotalCOGS,GrossMargin
INV-10001,2023-12-20,CUST-751,Wholesale,FL,Vietnam,40,17.56,11.27,702.4,450.8,251.6
INV-10002,2023-04-04,CUST-234,Wholesale,NY,Costa Rica,186,16.75,11.04,3115.5,2053.44,1062.06
INV-10003,2023-05-06,CUST-386,Wholesale,WA,Colombia,26,21.08,9.37,548.08,243.62,304.46
INV-10004,2023-08-11,CUST-842,Retail,CA,Costa Rica,24,18.64,10.1,447.36,242.4,204.96
INV-10005,2023-01-04,CUST-632,Retail,NY,Costa Rica,12,27.14,12.98,325.68,155.76,169.92
INV-10006,2023-06-13,CUST-732,Wholesale,CA,Brazil,401,22.61,15.19,9066.61,6091.19,2975.42
INV-10007,2023-12-30,CUST-135,Wholesale,IL,Guatemala,328,28.63,14.4,9390.64,4723.2,4667.44
INV-10008,2023-06-15,CUST-447,Retail,CA,Costa Rica,13,20.57,13.99,267.41,181.87,85.54
INV-10009,2023-01-04,CUST-887,Retail,FL,Vietnam,15,18.28,9.53,274.2,142.95,131.25
INV-10010,2023-09-12,CUST-822,Wholesale,NY,Vietnam,392,25.33,15.75,9929.36,6174.0,3755.36
INV-10011,2023-10-02,CUST-197,Online,IL,Colombia,45,25.94,10.7,1167.3,481.5,685.8
INV-10012,2023-08-15,CUST-241,Retail,FL,Vietnam,19,27.6,15.67,524.4,297.73,226.67
INV-10013,2023-07-01,CUST-371,Online,FL,Ethiopia,27,27.69,11.29,747.63,304.83,442.8
INV-10014,2023-06-17,CUST-453,Online,NY,Guatemala,28,19.21,12.45,537.88,348.6,189.28
INV-10015,2023-07-04,CUST-945,Retail,FL,Guatemala,10,17.46,8.42,174.6,84.2,90.4
INV-10016,2023-12-19,CUST-809,Online,FL,Costa Rica,29,16.7,9.38,484.3,272.02,212.28
INV-10017,2023-09-17,CUST-134,Retail,NY,Costa Rica,13,19.0,9.79,247.0,127.27,119.73
INV-10018,2023-01-17,CUST-792,Retail,NY,Brazil,5,19.02,9.72,95.1,48.6,46.5
INV-10019,2023-12-17,CUST-281,Online,TX,Guatemala,12,29.08,16.97,348.96,203.64,145.32
INV-10020,2023-11-25,CUST-841,Retail,CA,Ethiopia,22,27.31,12.15,600.82,267.3,333.52
INV-10021,2023-09-30,CUST-513,Wholesale,CA,Ethiopia,375,17.62,11.56,6607.5,4335.0,2272.5
INV-10022,2023-12-02,CUST-917,Online,IL,Vietnam,41,27.44,12.52,1125.04,513.32,611.72
INV-10023,2023-11-17,CUST-966,Retail,WA,Vietnam,24,20.17,12.09,484.08,290.16,193.92
INV-10024,2023-12-27,CUST-855,Wholesale,TX,Costa Rica,256,22.54,14.84,5770.24,3799.04,1971.2
INV-10025,2023-03-15,CUST-229,Retail,WA,Guatemala,9,26.06,17.09,234.54,153.81,80.73
INV-10026,2023-08-13,CUST-920,Online,IL,Guatemala,13,28.26,18.04,367.38,234.52,132.86
INV-10027,2023-12-29,CUST-708,Retail,IL,Vietnam,17,16.87,9.97,286.79,169.49,117.3
INV-10028,2023-05-21,CUST-646,Online,TX,Costa Rica,2,25.41,13.09,50.82,26.18,24.64
INV-10029,2023-04-14,CUST-508,Retail,IL,Ethiopia,32,25.54,12.61,817.28,403.52,413.76
INV-10030,2023-04-25,CUST-371,Retail,FL,Costa Rica,20,23.16,9.32,463.2,186.4,276.8
INV-10031,2023-10-26,CUST-694,Online,NY,Colombia,21,27.05,15.36,568.05,322.56,245.49
INV-10032,2023-11-13,CUST-857,Online,CA,Costa Rica,1,15.49,6.96,15.49,6.96,8.53
INV-10033,2023-08-31,CUST-139,Retail,WA,Brazil,21,29.66,15.99,622.86,335.79,287.07
INV-10034,2023-03-03,CUST-520,Retail,WA,Guatemala,16,24.96,13.48,399.36,215.68,183.68
INV-10035,2023-09-10,CUST-313,Retail,WA,Colombia,1,26.49,15.05,26.49,15.05,11.44
INV-10036,2023-06-29,CUST-797,Online,FL,Costa Rica,40,17.99,9.22,719.6,368.8,350.8
INV-10037,2023-06-08,CUST-450,Wholesale,TX,Colombia,107,25.78,13.5,2758.46,1444.5,1313.96
INV-10038,2023-02-25,CUST-691,Wholesale,NY,Vietnam,187,23.37,11.99,4370.19,2242.13,2128.06
INV-10039,2023-03-02,CUST-523,Online,IL,Colombia,5,24.82,15.0,124.1,75.0,49.1
INV-10040,2023-08-15,CUST-851,Online,IL,Vietnam,44,16.1,7.4,708.4,325.6,382.8
INV-10041,2023-02-27,CUST-192,Online,TX,Guatemala,24,26.89,11.75,645.36,282.0,363.36
INV-10042,2023-11-30,CUST-358,Retail,CA,Colombia,29,17.64,11.41,511.56,330.89,180.67
INV-10043,2023-07-17,CUST-335,Wholesale,TX,Brazil,375,22.02,9.98,8257.5,3742.5,4515.0
INV-10044,2023-03-18,CUST-463,Retail,TX,Brazil,16,18.44,9.72,295.04,155.52,139.52
INV-10045,2023-09-19,CUST-823,Retail,TX,Vietnam,43,23.24,11.01,999.32,473.43,525.89
INV-10046,2023-04-17,CUST-915,Wholesale,FL,Costa Rica,435,22.78,10.71,9909.3,4658.85,5250.45
INV-10047,2023-01-24,CUST-320,Retail,TX,Guatemala,31,27.17,17.65,842.27,547.15,295.12
INV-10048,2023-01-25,CUST-565,Online,TX,Ethiopia,5,23.0,15.53,115.0,77.65,37.35
INV-10049,2023-03-23,CUST-695,Retail,CA,Costa Rica,49,17.94,11.63,879.06,569.87,309.19
INV-10050,2023-11-04,CUST-332,Online,WA,Guatemala,42,17.83,9.67,748.86,406.14,342.72
INV-10051,2023-10-26,CUST-597,Online,TX,Colombia,9,29.11,18.96,261.99,170.64,91.35
INV-10052,2023-07-07,CUST-138,Retail,IL,Brazil,26,20.06,10.17,521.56,264.42,257.14
INV-10053,2023-11-03,CUST-604,Retail,NY,Vietnam,36,17.01,8.66,612.36,311.76,300.6
INV-10054,2023-10-08,CUST-469,Wholesale,FL,Costa Rica,366,27.03,14.24,9892.98,5211.84,4681.14
INV-10055,2023-12-11,CUST-395,Wholesale,WA,Colombia,423,20.7,11.58,8756.1,4898.34,3857.76
INV-10056,2023-01-15,CUST-962,Retail,NY,Vietnam,15,25.47,16.09,382.05,241.35,140.7
INV-10057,2023-04-02,CUST-270,Retail,IL,Costa Rica,45,20.61,8.53,927.45,383.85,543.6
INV-10058,2023-09-27,CUST-874,Online,WA,Vietnam,21,15.48,9.25,325.08,194.25,130.83
INV-10059,2023-04-20,CUST-826,Retail,WA,Guatemala,13,19.91,11.2,258.83,145.6,113.23
INV-10060,2023-08-01,CUST-165,Retail,WA,Brazil,45,29.5,14.85,1327.5,668.25,659.25
INV-10061,2023-01-13,CUST-603,Wholesale,FL,Guatemala,319,29.08,13.18,9276.52,4204.42,5072.1
INV-10062,2023-08-21,CUST-673,Online,WA,Ethiopia,2,28.48,17.69,56.96,35.38,21.58
INV-10063,2023-01-26,CUST-196,Online,IL,Costa Rica,47,26.24,12.98,1233.28,610.06,623.22
INV-10064,2023-09-28,CUST-745,Online,TX,Brazil,1,15.96,7.93,15.96,7.93,8.03
INV-10065,2023-12-27,CUST-140,Retail,NY,Vietnam,16,29.96,18.0,479.36,288.0,191.36
INV-10066,2023-05-06,CUST-863,Retail,TX,Guatemala,50,21.78,14.38,1089.0,719.0,370.0
INV-10067,2023-01-13,CUST-405,Wholesale,TX,Colombia,16,19.88,8.24,318.08,131.84,186.24
INV-10068,2023-04-02,CUST-695,Retail,WA,Costa Rica,3,27.95,17.78,83.85,53.34,30.51
INV-10069,2023-10-27,CUST-135,Retail,WA,Brazil,20,23.94,9.58,478.8,191.6,287.2
INV-10070,2023-12-07,CUST-233,Wholesale,IL,Costa Rica,73,24.13,13.9,1761.49,1014.7,746.79
INV-10071,2023-08-07,CUST-987,Online,IL,Vietnam,24,26.49,15.69,635.76,376.56,259.2
INV-10072,2023-04-23,CUST-728,Wholesale,FL,Colombia,495,29.51,17.77,14607.45,8796.15,5811.3
INV-10073,2023-01-01,CUST-193,Wholesale,NY,Ethiopia,321,22.11,12.42,7097.31,3986.82,3110.49
INV-10074,2023-08-10,CUST-944,Retail,FL,Costa Rica,11,28.82,15.36,317.02,168.96,148.06
INV-10075,2023-08-01,CUST-346,Retail,FL,Ethiopia,27,22.11,9.81,596.97,264.87,332.1
INV-10076,2023-09-30,CUST-964,Online,IL,Brazil,11,19.83,8.02,218.13,88.22,129.91
INV-10077,2023-02-19,CUST-943,Online,WA,Colombia,42,26.43,16.74,1110.06,703.08,406.98
INV-10078,2023-04-16,CUST-309,Retail,WA,Brazil,31,29.07,17.78,901.17,551.18,349.99
INV-10079,2023-01-16,CUST-597,Wholesale,WA,Guatemala,297,23.17,11.88,6881.49,3528.36,3353.13
INV-10080,2023-07-23,CUST-537,Wholesale,WA,Costa Rica,244,22.81,9.7,5565.64,2366.8,3198.84
INV-10081,2023-09-09,CUST-312,Wholesale,NY,Brazil,492,18.47,10.81,9087.24,5318.52,3768.72
INV-10082,2023-12-18,CUST-831,Online,TX,Costa Rica,47,16.83,11.28,791.01,530.16,260.85
INV-10083,2023-07-15,CUST-396,Online,FL,Brazil,21,21.75,13.16,456.75,276.36,180.39
INV-10084,2023-07-09,CUST-938,Online,NY,Ethiopia,29,26.86,11.65,778.94,337.85,441.09
INV-10085,2023-01-05,CUST-300,Online,TX,Brazil,38,22.2,10.04,843.6,381.52,462.08
INV-10086,2023-09-14,CUST-623,Retail,FL,Guatemala,7,24.24,15.08,169.68,105.56,64.12
INV-10087,2023-08-18,CUST-196,Wholesale,TX,Guatemala,49,17.46,11.11,855.54,544.39,311.15
INV-10088,2023-06-26,CUST-119,Retail,WA,Ethiopia,50,18.28,12.48,914.0,624.0,290.0
INV-10089,2023-10-29,CUST-158,Retail,TX,Guatemala,47,18.49,10.79,869.03,507.13,361.9
INV-10090,2023-05-31,CUST-238,Retail,IL,Guatemala,31,23.85,15.46,739.35,479.26,260.09
INV-10091,2023-12-13,CUST-872,Wholesale,TX,Costa Rica,142,22.64,11.44,3214.88,1624.48,1590.4
INV-10092,2023-12-24,CUST-787,Wholesale,IL,Costa Rica,31,16.68,10.04,517.08,311.24,205.84
INV-10093,2023-06-04,CUST-362,Retail,IL,Guatemala,28,15.76,7.54,441.28,211.12,230.16
INV-10094,2023-05-31,CUST-634,Online,NY,Colombia,34,17.6,8.76,598.4,297.84,300.56
INV-10095,2023-02-27,CUST-441,Online,TX,Colombia,19,15.54,7.68,295.26,145.92,149.34
INV-10096,2023-02-23,CUST-642,Retail,WA,Vietnam,44,19.72,12.35,867.68,543.4,324.28
INV-10097,2023-02-07,CUST-364,Wholesale,NY,Vietnam,308,19.82,12.05,6104.56,3711.4,2393.16
INV-10098,2023-12-12,CUST-451,Online,TX,Colombia,47,26.16,13.16,1229.52,618.52,611.0
INV-10099,2023-05-08,CUST-698,Wholesale,WA,Ethiopia,137,25.12,12.74,3441.44,1745.38,1696.06
INV-10100,2023-09-15,CUST-270,Wholesale,FL,Colombia,409,15.52,8.29,6347.68,3390.61,2957.07
INV-10101,2023-02-13,CUST-591,Online,FL,Brazil,21,16.31,11.12,342.51,233.52,108.99
INV-10102,2023-03-07,CUST-155,Wholesale,IL,Costa Rica,377,15.54,6.99,5858.58,2635.23,3223.35
INV-10103,2023-02-26,CUST-509,Online,FL,Brazil,47,29.73,12.68,1397.31,595.96,801.35
INV-10104,2023-12-27,CUST-430,Retail,TX,Brazil,8,29.71,15.1,237.68,120.8,116.88
INV-10105,2023-01-22,CUST-804,Wholesale,NY,Colombia,61,27.4,18.29,1671.4,1115.69,555.71
INV-10106,2023-10-14,CUST-925,Wholesale,IL,Vietnam,112,23.2,15.98,2598.4,1789.76,808.64
INV-10107,2023-08-16,CUST-441,Online,WA,Guatemala,47,22.73,13.39,1068.31,629.33,438.98
INV-10108,2023-05-05,CUST-605,Online,NY,Vietnam,16,20.18,8.34,322.88,133.44,189.44
INV-10109,2023-11-15,CUST-592,Retail,NY,Ethiopia,45,25.88,14.88,1164.6,669.6,495.0
INV-10110,2023-01-21,CUST-541,Wholesale,CA,Ethiopia,142,20.57,10.18,2920.94,1445.56,1475.38
INV-10111,2023-11-08,CUST-584,Retail,FL,Guatemala,33,27.24,14.59,898.92,481.47,417.45
INV-10112,2023-12-08,CUST-591,Online,CA,Vietnam,4,26.45,12.85,105.8,51.4,54.4
INV-10113,2023-12-30,CUST-991,Retail,FL,Brazil,25,17.41,7.42,435.25,185.5,249.75
INV-10114,2023-04-02,CUST-473,Retail,CA,Brazil,46,24.32,15.93,1118.72,732.78,385.94
INV-10115,2023-03-10,CUST-112,Online,NY,Guatemala,47,25.94,15.88,1219.18,746.36,472.82
INV-10116,2023-07-13,CUST-352,Online,TX,Brazil,25,29.82,20.74,745.5,518.5,227.0
INV-10117,2023-03-20,CUST-655,Retail,CA,Ethiopia,10,20.07,12.71,200.7,127.1,73.6
INV-10118,2023-04-08,CUST-759,Retail,NY,Colombia,45,24.86,10.13,1118.7,455.85,662.85
INV-10119,2023-12-17,CUST-157,Online,WA,Vietnam,17,19.96,9.22,339.32,156.74,182.58
INV-10120,2023-11-24,CUST-506,Online,NY,Brazil,44,27.91,18.54,1228.04,815.76,412.28
INV-10121,2023-04-01,CUST-200,Online,CA,Brazil,23,26.97,13.52,620.31,310.96,309.35
INV-10122,2023-02-09,CUST-172,Wholesale,CA,Ethiopia,49,19.91,9.85,975.59,482.65,492.94
INV-10123,2023-08-14,CUST-317,Retail,FL,Brazil,16,21.85,11.64,349.6,186.24,163.36
INV-10124,2023-06-27,CUST-471,Retail,TX,Guatemala,49,16.66,7.27,816.34,356.23,460.11
INV-10125,2023-04-10,CUST-819,Online,WA,Ethiopia,16,15.03,8.32,240.48,133.12,107.36
INV-10126,2023-05-25,CUST-778,Wholesale,WA,Brazil,214,15.37,9.8,3289.18,2097.2,1191.98
INV-10127,2023-03-24,CUST-487,Online,WA,Costa Rica,34,16.31,7.81,554.54,265.54,289.0
INV-10128,2023-03-09,CUST-111,Retail,WA,Vietnam,30,19.66,11.92,589.8,357.6,232.2
INV-10129,2023-06-02,CUST-403,Retail,TX,Guatemala,31,18.08,11.51,560.48,356.81,203.67
INV-10130,2023-04-10,CUST-763,Wholesale,FL,Costa Rica,210,26.36,15.47,5535.6,3248.7,2286.9
INV-10131,2023-05-08,CUST-319,Wholesale,TX,Guatemala,215,20.43,12.28,4392.45,2640.2,1752.25
INV-10132,2023-08-05,CUST-469,Online,WA,Guatemala,7,20.68,9.67,144.76,67.69,77.07
INV-10133,2023-12-29,CUST-324,Wholesale,CA,Costa Rica,484,25.37,14.69,12279.08,7109.96,5169.12
INV-10134,2023-11-05,CUST-864,Online,TX,Costa Rica,31,24.68,11.16,765.08,345.96,419.12
