PONo,VendorID,VendorName,VendorQuality,VendorAddress,VendorCity,VendorState,VendorZip,VendorPayterms,PODate,POItemID,POItemDescription,ItemCost,ItemQty
PO0001,V05,Pet Supplier 2,1,123 Main St,Anytown,NY,10001,Net 30,2025-09-14,ITM0,Dog Food 20lb,48.19,21
PO0002,V02,Pet Supplier 2,5,123 Main St,Anytown,NY,10001,Net 30,2025-08-23,ITM4,Bird Seed,21.17,29
PO0003,V04,Pet Supplier 4,4,123 Main St,Anytown,NY,10001,Net 30,2025-06-17,ITM1,Cat Litter,10.37,15
PO0004,V05,Pet Supplier 2,2,123 Main St,Anytown,NY,10001,Net 30,2025-06-03,ITM2,Chew Toy,7.54,48
PO0005,V03,Pet Supplier 2,1,123 Main St,Anytown,NY,10001,Net 30,2025-04-06,ITM3,Fish Tank,6.42,75
PO0006,V05,Pet Supplier 5,4,123 Main St,Anytown,NY,10001,Net 30,2025-06-19,ITM2,Chew Toy,37.1,92
PO0007,V03,Pet Supplier 2,2,123 Main St,Anytown,NY,10001,Net 30,2025-05-03,ITM0,Dog Food 20lb,11.11,37
PO0008,V02,Pet Supplier 1,3,123 Main St,Anytown,NY,10001,Net 30,2025-08-05,ITM0,Dog Food 20lb,29.4,62
PO0009,V05,Pet Supplier 2,2,123 Main St,Anytown,NY,10001,Net 30,2025-09-09,ITM4,Bird Seed,29.97,64
PO0010,V02,Pet Supplier 1,3,123 Main St,Anytown,NY,10001,Net 30,2025-03-13,ITM0,Dog Food 20lb,21.74,38
PO0011,V03,Pet Supplier 4,4,123 Main St,Anytown,NY,10001,Net 30,2025-03-28,ITM2,Chew Toy,10.32,100
PO0012,V03,Pet Supplier 4,1,123 Main St,Anytown,NY,10001,Net 30,2025-03-17,ITM0,Dog Food 20lb,9.0,92
PO0013,V04,Pet Supplier 1,4,123 Main St,Anytown,NY,10001,Net 30,2025-09-03,ITM1,Cat Litter,48.1,73
PO0014,V05,Pet Supplier 5,5,123 Main St,Anytown,NY,10001,Net 30,2025-11-12,ITM1,Cat Litter,26.69,43
PO0015,V04,Pet Supplier 3,2,123 Main St,Anytown,NY,10001,Net 30,2025-09-05,ITM0,Dog Food 20lb,11.38,8
PO0016,V02,Pet Supplier 1,4,123 Main St,Anytown,NY,10001,Net 30,2025-08-08,ITM2,Chew Toy,27.43,28
PO0017,V04,Pet Supplier 2,5,123 Main St,Anytown,NY,10001,Net 30,2025-06-26,ITM4,Bird Seed,26.12,81
PO0018,V03,Pet Supplier 3,5,123 Main St,Anytown,NY,10001,Net 30,2025-04-04,ITM0,Dog Food 20lb,10.23,7
PO0019,V03,Pet Supplier 3,5,123 Main St,Anytown,NY,10001,Net 30,2025-12-15,ITM4,Bird Seed,5.65,9
PO0020,V02,Pet Supplier 1,2,123 Main St,Anytown,NY,10001,Net 30,2025-11-09,ITM1,Cat Litter,24.9,21
PO0021,V01,Pet Supplier 1,1,123 Main St,Anytown,NY,10001,Net 30,2025-08-15,ITM3,Fish Tank,29.94,62
PO0022,V01,Pet Supplier 1,5,123 Main St,Anytown,NY,10001,Net 30,2025-01-26,ITM1,Cat Litter,43.04,39
PO0023,V01,Pet Supplier 3,3,123 Main St,Anytown,NY,10001,Net 30,2025-09-19,ITM0,Dog Food 20lb,14.72,79
PO0024,V03,Pet Supplier 5,2,123 Main St,Anytown,NY,10001,Net 30,2025-03-10,ITM0,Dog Food 20lb,28.83,10
PO0025,V05,Pet Supplier 1,4,123 Main St,Anytown,NY,10001,Net 30,2025-08-12,ITM2,Chew Toy,8.59,7
PO0026,V03,Pet Supplier 5,4,123 Main St,Anytown,NY,10001,Net 30,2025-04-09,ITM0,Dog Food 20lb,26.48,53
PO0027,V02,Pet Supplier 5,2,123 Main St,Anytown,NY,10001,Net 30,2025-12-11,ITM4,Bird Seed,40.46,90
PO0028,V02,Pet Supplier 1,3,123 Main St,Anytown,NY,10001,Net 30,2025-08-20,ITM1,Cat Litter,14.27,15
PO0029,V01,Pet Supplier 5,1,123 Main St,Anytown,NY,10001,Net 30,2025-07-09,ITM0,Dog Food 20lb,38.19,24
PO0030,V01,Pet Supplier 3,5,123 Main St,Anytown,NY,10001,Net 30,2025-06-30,ITM1,Cat Litter,41.23,58
PO0031,V05,Pet Supplier 4,3,123 Main St,Anytown,NY,10001,Net 30,2025-06-13,ITM2,Chew Toy,27.12,84
PO0032,V02,Pet Supplier 4,3,123 Main St,Anytown,NY,10001,Net 30,2025-07-21,ITM1,Cat Litter,9.0,10
PO0033,V01,Pet Supplier 2,1,123 Main St,Anytown,NY,10001,Net 30,2025-04-14,ITM3,Fish Tank,20.99,86
PO0034,V03,Pet Supplier 2,2,123 Main St,Anytown,NY,10001,Net 30,2025-11-11,ITM2,Chew Toy,41.22,48
