SaleReceiptNo,Saledate,InvCode,NoSold,InvDesc,InvPrice,InvCost,TotalSales,TotalCost
R00001,2025-03-23,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00002,2025-11-29,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00003,2025-11-03,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00004,2025-02-08,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00005,2025-03-16,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00006,2025-09-01,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00007,2025-04-12,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00008,2025-07-19,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00009,2025-07-18,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00010,2025-10-20,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00011,2025-06-25,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00012,2025-02-02,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00013,2025-10-30,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00014,2025-09-16,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00015,2025-09-05,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00016,2025-07-04,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00017,2025-12-24,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00018,2025-04-05,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00019,2025-09-21,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00020,2025-08-10,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00021,2025-12-03,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00022,2025-10-18,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00023,2025-03-10,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00024,2025-08-18,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00025,2025-12-12,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00026,2025-04-05,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00027,2025-11-21,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00028,2025-02-04,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00029,2025-03-15,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00030,2025-02-13,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00031,2025-10-06,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00032,2025-11-07,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00033,2025-12-01,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00034,2025-08-04,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00035,2025-05-02,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00036,2025-12-29,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00037,2025-06-01,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00038,2025-05-20,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00039,2025-04-30,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00040,2025-09-27,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00041,2025-06-02,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00042,2025-05-15,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00043,2025-11-19,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00044,2025-03-16,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00045,2025-03-31,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00046,2025-01-07,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00047,2025-11-28,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00048,2025-03-02,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00049,2025-08-19,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00050,2025-01-20,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00051,2025-12-28,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00052,2025-08-31,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00053,2025-12-09,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00054,2025-11-03,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00055,2025-08-30,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00056,2025-01-31,INV107,2,Hair Clips,5.0,1.5,10.0,3.0
R00057,2025-08-04,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00058,2025-07-31,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00059,2025-10-08,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00060,2025-11-29,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00061,2025-01-17,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00062,2025-10-30,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00063,2025-08-25,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00064,2025-09-10,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00065,2025-01-20,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00066,2025-03-28,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00067,2025-01-11,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00068,2025-03-04,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00069,2025-04-21,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00070,2025-01-12,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00071,2025-09-18,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00072,2025-12-29,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00073,2025-05-25,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00074,2025-03-20,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00075,2025-08-08,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00076,2025-01-18,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00077,2025-01-05,INV106,4,Curling Iron,65.0,35.0,260.0,140.0
R00078,2025-04-27,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00079,2025-11-16,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00080,2025-05-13,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00081,2025-10-07,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00082,2025-06-25,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00083,2025-03-03,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00084,2025-12-08,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00085,2025-09-30,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00086,2025-07-21,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00087,2025-12-03,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00088,2025-10-09,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00089,2025-07-31,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00090,2025-07-04,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00091,2025-10-20,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00092,2025-12-12,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00093,2025-09-12,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00094,2025-03-18,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00095,2025-07-24,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00096,2025-08-05,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00097,2025-09-16,INV106,4,Curling Iron,65.0,35.0,260.0,140.0
R00098,2025-01-15,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00099,2025-05-20,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00100,2025-06-30,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00101,2025-06-21,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00102,2025-06-22,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00103,2025-06-11,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00104,2025-01-19,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00105,2025-09-05,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00106,2025-10-02,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00107,2025-02-12,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00108,2025-06-19,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00109,2025-11-02,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00110,2025-05-10,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00111,2025-10-06,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00112,2025-11-02,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00113,2025-10-06,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00114,2025-10-21,INV107,2,Hair Clips,5.0,1.5,10.0,3.0
R00115,2025-04-14,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00116,2025-03-08,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00117,2025-03-30,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00118,2025-02-08,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00119,2025-08-22,INV107,2,Hair Clips,5.0,1.5,10.0,3.0
R00120,2025-05-26,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00121,2025-07-31,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00122,2025-08-06,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00123,2025-02-18,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00124,2025-11-24,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00125,2025-06-18,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00126,2025-09-18,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00127,2025-07-05,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00128,2025-04-08,INV106,4,Curling Iron,65.0,35.0,260.0,140.0
R00129,2025-07-17,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00130,2025-03-30,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00131,2025-09-23,INV106,4,Curling Iron,65.0,35.0,260.0,140.0
R00132,2025-01-08,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
