VendorName,PaymentDate,PaymentAmount
WRG LLC,2025-12-29,2358.03
Zoetis Inc.,2025-05-29,1062.35
WRG LLC,2024-07-20,6589.65
Winston Water Cooler Ltd.,2025-06-12,5757.6
Winston Water Cooler Ltd.,2024-09-12,3632.32
Aecom Technical Services Inc.,2025-08-14,863.42
Winston Water Cooler Ltd.,2024-03-27,8835.76
Aecom Technical Services Inc.,2025-02-23,3580.74
Winston Water Cooler Ltd.,2025-02-27,3727.92
Aecom Technical Services Inc.,2025-07-17,9475.84
Zoetis Inc.,2024-10-21,1144.24
Winston Water Cooler Ltd.,2024-08-18,5237.32
4-Star Hose & Supply,2024-03-29,8319.38
Aecom Technical Services Inc.,2024-01-31,5626.91
4-Star Hose & Supply,2025-12-19,9707.84
Winston Water Cooler Ltd.,2024-01-06,6912.16
Zoetis Inc.,2024-12-12,6031.78
Zoetis Inc.,2025-12-13,8580.53
4-Star Hose & Supply,2024-06-13,7291.36
4-Star Hose & Supply,2024-01-12,1022.55
WRG LLC,2024-11-26,4673.97
Zoetis Inc.,2024-07-09,8242.88
Zoetis Inc.,2024-03-05,1655.18
Aecom Technical Services Inc.,2025-02-13,2648.01
Zoetis Inc.,2024-08-02,7558.67
Winston Water Cooler Ltd.,2024-12-06,5185.89
Aecom Technical Services Inc.,2025-12-24,1437.43
4-Star Hose & Supply,2024-02-03,7693.92
Aecom Technical Services Inc.,2025-04-18,9549.43
WRG LLC,2024-12-14,540.0
Zoetis Inc.,2025-10-14,5260.29
4-Star Hose & Supply,2025-02-17,8954.11
4-Star Hose & Supply,2025-10-09,2927.42
4-Star Hose & Supply,2024-07-02,571.98
Zoetis Inc.,2024-02-09,8625.17
WRG LLC,2024-12-29,9913.69
4-Star Hose & Supply,2024-06-08,5464.43
Zoetis Inc.,2024-06-28,9648.88
Zoetis Inc.,2024-11-07,2917.02
Winston Water Cooler Ltd.,2025-04-22,5810.13
Zoetis Inc.,2025-01-11,527.91
WRG LLC,2025-11-27,7025.85
Aecom Technical Services Inc.,2024-03-17,1990.24
WRG LLC,2025-04-07,6207.2
Zoetis Inc.,2024-06-10,4804.79
Winston Water Cooler Ltd.,2024-01-30,8267.93
Zoetis Inc.,2025-08-14,9353.65
Winston Water Cooler Ltd.,2025-10-13,5491.36
Zoetis Inc.,2025-11-23,7855.51
4-Star Hose & Supply,2024-05-09,3046.2
Aecom Technical Services Inc.,2025-12-05,3951.0
Zoetis Inc.,2024-02-27,4749.67
Zoetis Inc.,2025-07-17,1041.42
4-Star Hose & Supply,2025-01-25,8333.43
Winston Water Cooler Ltd.,2024-09-01,6763.14
Zoetis Inc.,2025-08-23,7621.09
Zoetis Inc.,2024-12-11,2216.17
WRG LLC,2025-10-10,3321.23
Aecom Technical Services Inc.,2024-08-23,2805.67
4-Star Hose & Supply,2025-10-16,6830.05
Zoetis Inc.,2024-03-27,7531.49
Zoetis Inc.,2025-08-02,1869.77
4-Star Hose & Supply,2025-12-30,9876.79
Zoetis Inc.,2024-01-12,6089.48
4-Star Hose & Supply,2024-08-22,5413.56
WRG LLC,2025-06-11,7593.18
Zoetis Inc.,2025-03-24,714.87
Zoetis Inc.,2025-10-18,8973.28
Zoetis Inc.,2025-10-30,3266.55
WRG LLC,2024-12-30,6407.53
WRG LLC,2025-01-19,7500.84
WRG LLC,2025-01-31,8977.9
